'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
458,0,241,0,1,1,0.655222,1,0.344778,0.791703,1,1,0
455,3,211,30,0.875519,0.99345,0.683183,0.99345,0.316817,0.809609,0.95279,1.042675,0.008475
454,4,196,45,0.813278,0.991266,0.698462,0.991266,0.301538,0.819495,0.9299,1.065993,0.009009
454,4,185,56,0.767635,0.991266,0.710485,0.991266,0.289515,0.827712,0.914163,1.084343,0.009259
454,4,171,70,0.709544,0.991266,0.7264,0.991266,0.2736,0.838412,0.894134,1.108632,0.025157
453,5,153,88,0.634855,0.989083,0.747525,0.989083,0.252475,0.851504,0.866953,1.140873,0.028902
450,8,133,108,0.551867,0.982533,0.77187,0.982533,0.22813,0.864553,0.834049,1.178028,0.030303
450,8,121,120,0.502075,0.982533,0.788091,0.982533,0.211909,0.874636,0.816881,1.202785,0.03125
450,8,104,137,0.431535,0.982533,0.812274,0.982533,0.187726,0.889328,0.792561,1.239694,0.035088
449,9,100,141,0.414938,0.980349,0.817851,0.980349,0.182149,0.891758,0.785408,1.248204,0.037037
449,9,95,146,0.394191,0.980349,0.825368,0.980349,0.174632,0.896208,0.778255,1.259677,0.038674
447,11,78,163,0.323651,0.975983,0.851429,0.975983,0.148571,0.909461,0.751073,1.299451,0.039106
445,13,59,182,0.244813,0.971616,0.882937,0.971616,0.117063,0.925156,0.72103,1.347538,0.043011
440,18,44,197,0.182573,0.960699,0.909091,0.960699,0.090909,0.934183,0.692418,1.387455,0.055556
439,19,42,199,0.174274,0.958515,0.912682,0.958515,0.087318,0.935037,0.688126,1.392936,0.066667
439,19,38,203,0.157676,0.958515,0.920335,0.958515,0.079665,0.939037,0.682403,1.404617,0.1
439,19,33,208,0.136929,0.958515,0.930085,0.958515,0.069915,0.944086,0.67525,1.419496,0.105263
439,19,30,211,0.124481,0.958515,0.936034,0.958515,0.063966,0.947141,0.670959,1.428576,0.125
439,19,27,214,0.112033,0.958515,0.94206,0.958515,0.05794,0.950216,0.666667,1.437773,0.145833
438,20,20,221,0.082988,0.956332,0.956332,0.956332,0.043668,0.956332,0.655222,1.459555,0.166667
438,20,18,223,0.074689,0.956332,0.960526,0.956332,0.039474,0.958425,0.652361,1.465956,0.222222
438,20,15,226,0.062241,0.956332,0.966887,0.956332,0.033113,0.961581,0.648069,1.475664,0.333333
438,20,14,227,0.058091,0.956332,0.969027,0.956332,0.030973,0.962637,0.646638,1.478929,0.714286
437,21,13,228,0.053942,0.954148,0.971111,0.954148,0.028889,0.962555,0.643777,1.482111,0.75
437,21,12,229,0.049793,0.954148,0.973274,0.954148,0.026726,0.963616,0.642346,1.485412,0.9
435,23,12,229,0.049793,0.949782,0.973154,0.949782,0.026846,0.961326,0.639485,1.485229,0.90625
434,24,11,230,0.045643,0.947598,0.975281,0.947598,0.024719,0.96124,0.636624,1.488475,0.909091
432,26,10,231,0.041494,0.943231,0.977376,0.943231,0.022624,0.96,0.632332,1.491671,0.923077
431,27,10,231,0.041494,0.941048,0.977324,0.941048,0.022676,0.958843,0.630901,1.491593,0.9375
428,30,9,232,0.037344,0.934498,0.979405,0.934498,0.020595,0.956425,0.625179,1.494769,0.941176
426,32,9,232,0.037344,0.930131,0.97931,0.930131,0.02069,0.954087,0.622318,1.494624,0.944444
424,34,9,232,0.037344,0.925764,0.979215,0.925764,0.020785,0.95174,0.619456,1.494478,0.947368
419,39,9,232,0.037344,0.914847,0.978972,0.914847,0.021028,0.945824,0.612303,1.494108,0.989691
379,79,6,235,0.024896,0.827511,0.984416,0.827511,0.015584,0.89917,0.550787,1.502416,0.99449
250,208,6,235,0.024896,0.545852,0.976563,0.545852,0.023438,0.70028,0.366237,1.490431,0.994505
208,250,6,235,0.024896,0.454148,0.971963,0.454148,0.028037,0.619048,0.306152,1.48341,0.994521
167,291,6,235,0.024896,0.364629,0.965318,0.364629,0.034682,0.529319,0.247496,1.473269,0.99455
89,369,6,235,0.024896,0.194323,0.936842,0.194323,0.063158,0.321881,0.135908,1.429809,1
0,458,0,241,0,0,?,0,?,?,0,?,1.00001
