'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
458,0,241,0,1,1,0.655222,1,0.344778,0.791703,1,1,0
457,1,168,73,0.697095,0.997817,0.7312,0.997817,0.2688,0.843952,0.894134,1.115958,0.01
457,1,136,105,0.564315,0.997817,0.770658,0.997817,0.229342,0.869648,0.848355,1.176178,0.02
457,1,114,127,0.473029,0.997817,0.80035,0.997817,0.19965,0.888241,0.816881,1.221495,0.03
457,1,104,137,0.431535,0.997817,0.814617,0.997817,0.185383,0.896958,0.802575,1.243269,0.04
457,1,91,150,0.377593,0.997817,0.833942,0.997817,0.166058,0.908549,0.783977,1.272762,0.05
456,2,85,156,0.352697,0.995633,0.842884,0.995633,0.157116,0.912913,0.773963,1.28641,0.06
455,3,79,162,0.327801,0.99345,0.85206,0.99345,0.14794,0.917339,0.763948,1.300415,0.07
455,3,73,168,0.302905,0.99345,0.861742,0.99345,0.138258,0.922921,0.755365,1.315192,0.08
455,3,66,175,0.273859,0.99345,0.873321,0.99345,0.126679,0.92952,0.745351,1.332863,0.09
455,3,62,179,0.257261,0.99345,0.880077,0.99345,0.119923,0.933333,0.739628,1.343175,0.1
454,4,58,183,0.240664,0.991266,0.886719,0.991266,0.113281,0.936082,0.732475,1.353311,0.11
451,7,54,187,0.224066,0.984716,0.893069,0.984716,0.106931,0.936656,0.722461,1.363003,0.12
451,7,52,189,0.215768,0.984716,0.89662,0.984716,0.10338,0.938606,0.719599,1.368423,0.13
451,7,49,192,0.20332,0.984716,0.902,0.984716,0.098,0.941545,0.715308,1.376633,0.14
451,7,46,195,0.190871,0.984716,0.907445,0.984716,0.092555,0.944503,0.711016,1.384943,0.15
451,7,44,197,0.182573,0.984716,0.911111,0.984716,0.088889,0.946485,0.708155,1.390539,0.16
451,7,43,198,0.178423,0.984716,0.912955,0.984716,0.087045,0.947479,0.706724,1.393353,0.17
451,7,40,201,0.165975,0.984716,0.918534,0.984716,0.081466,0.950474,0.702432,1.401867,0.18
451,7,37,204,0.153527,0.984716,0.92418,0.984716,0.07582,0.953488,0.69814,1.410485,0.19
451,7,34,207,0.141079,0.984716,0.929897,0.984716,0.070103,0.956522,0.693848,1.419209,0.21
451,7,33,208,0.136929,0.984716,0.931818,0.984716,0.068182,0.957537,0.692418,1.422142,0.22
451,7,32,209,0.13278,0.984716,0.933747,0.984716,0.066253,0.958555,0.690987,1.425086,0.24
450,8,32,209,0.13278,0.982533,0.93361,0.982533,0.06639,0.957447,0.689557,1.424876,0.25
449,9,31,210,0.128631,0.980349,0.935417,0.980349,0.064583,0.957356,0.686695,1.427634,0.26
448,10,28,213,0.116183,0.978166,0.941176,0.978166,0.058824,0.959315,0.680973,1.436424,0.27
448,10,27,214,0.112033,0.978166,0.943158,0.978166,0.056842,0.960343,0.679542,1.439448,0.28
448,10,26,215,0.107884,0.978166,0.945148,0.978166,0.054852,0.961373,0.678112,1.442485,0.29
447,11,25,216,0.103734,0.975983,0.947034,0.975983,0.052966,0.96129,0.67525,1.445364,0.32
447,11,23,218,0.095436,0.975983,0.951064,0.975983,0.048936,0.963362,0.672389,1.451514,0.34
447,11,22,219,0.091286,0.975983,0.953092,0.975983,0.046908,0.964401,0.670959,1.454609,0.36
446,12,18,223,0.074689,0.973799,0.961207,0.973799,0.038793,0.967462,0.663805,1.466995,0.39
445,13,17,224,0.070539,0.971616,0.963203,0.971616,0.036797,0.967391,0.660944,1.470042,0.4
445,13,16,225,0.06639,0.971616,0.965293,0.971616,0.034707,0.968444,0.659514,1.473231,0.41
445,13,15,226,0.062241,0.971616,0.967391,0.971616,0.032609,0.969499,0.658083,1.476433,0.42
445,13,14,227,0.058091,0.971616,0.969499,0.971616,0.030501,0.970556,0.656652,1.47965,0.44
445,13,11,230,0.045643,0.971616,0.975877,0.971616,0.024123,0.973742,0.652361,1.489385,0.45
444,14,11,230,0.045643,0.969432,0.975824,0.969432,0.024176,0.972618,0.65093,1.489304,0.46
443,15,9,232,0.037344,0.967249,0.980088,0.967249,0.019912,0.973626,0.646638,1.495812,0.49
443,15,8,233,0.033195,0.967249,0.982262,0.967249,0.017738,0.974697,0.645207,1.499129,0.53
443,15,6,235,0.024896,0.967249,0.986637,0.967249,0.013363,0.976847,0.642346,1.505806,0.56
442,16,6,235,0.024896,0.965066,0.986607,0.965066,0.013393,0.975717,0.640916,1.505761,0.57
441,17,6,235,0.024896,0.962882,0.986577,0.962882,0.013423,0.974586,0.639485,1.505715,0.59
440,18,6,235,0.024896,0.960699,0.986547,0.960699,0.013453,0.973451,0.638054,1.505669,0.6
440,18,5,236,0.020747,0.960699,0.988764,0.960699,0.011236,0.974529,0.636624,1.509053,0.61
439,19,5,236,0.020747,0.958515,0.988739,0.958515,0.011261,0.973392,0.635193,1.509014,0.62
439,19,4,237,0.016598,0.958515,0.990971,0.958515,0.009029,0.974473,0.633763,1.51242,0.64
438,20,4,237,0.016598,0.956332,0.99095,0.956332,0.00905,0.973333,0.632332,1.512389,0.66
438,20,3,238,0.012448,0.956332,0.993197,0.956332,0.006803,0.974416,0.630901,1.515819,0.68
437,21,3,238,0.012448,0.954148,0.993182,0.954148,0.006818,0.973274,0.629471,1.515795,0.7
437,21,2,239,0.008299,0.954148,0.995444,0.954148,0.004556,0.974359,0.62804,1.519248,0.71
437,21,1,240,0.004149,0.954148,0.997717,0.954148,0.002283,0.975446,0.626609,1.522716,0.72
436,22,1,240,0.004149,0.951965,0.997712,0.951965,0.002288,0.974302,0.625179,1.522708,0.73
435,23,1,240,0.004149,0.949782,0.997706,0.949782,0.002294,0.973154,0.623748,1.5227,0.75
433,25,1,240,0.004149,0.945415,0.997696,0.945415,0.002304,0.970852,0.620887,1.522684,0.76
432,26,1,240,0.004149,0.943231,0.997691,0.943231,0.002309,0.969697,0.619456,1.522676,0.77
431,27,1,240,0.004149,0.941048,0.997685,0.941048,0.002315,0.968539,0.618026,1.522668,0.8
430,28,1,240,0.004149,0.938865,0.99768,0.938865,0.00232,0.967379,0.616595,1.52266,0.81
