'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0
232,0,135,1,0.992647,1,0.632153,1,0.367847,0.774624,0.997283,1.002725,0
232,0,134,2,0.985294,1,0.63388,1,0.36612,0.77592,0.994565,1.005464,0
232,0,133,3,0.977941,1,0.635616,1,0.364384,0.777219,0.991848,1.008219,0
232,0,132,4,0.970588,1,0.637363,1,0.362637,0.778523,0.98913,1.010989,0
232,0,131,5,0.963235,1,0.639118,1,0.360882,0.779832,0.986413,1.013774,0
232,0,130,6,0.955882,1,0.640884,1,0.359116,0.781145,0.983696,1.016575,0
232,0,129,7,0.948529,1,0.642659,1,0.357341,0.782462,0.980978,1.019391,0
232,0,128,8,0.941176,1,0.644444,1,0.355556,0.783784,0.978261,1.022222,0
232,0,127,9,0.933824,1,0.64624,1,0.35376,0.78511,0.975543,1.02507,0.000001
232,0,126,10,0.926471,1,0.648045,1,0.351955,0.786441,0.972826,1.027933,0.000001
232,0,125,11,0.919118,1,0.64986,1,0.35014,0.787776,0.970109,1.030812,0.000001
232,0,124,12,0.911765,1,0.651685,1,0.348315,0.789116,0.967391,1.033708,0.000005
232,0,123,13,0.904412,1,0.653521,1,0.346479,0.79046,0.964674,1.03662,0.000011
232,0,122,14,0.897059,1,0.655367,1,0.344633,0.791809,0.961957,1.039548,0.000022
232,0,121,15,0.889706,1,0.657224,1,0.342776,0.793162,0.959239,1.042493,0.000023
232,0,120,16,0.882353,1,0.659091,1,0.340909,0.794521,0.956522,1.045455,0.000024
232,0,119,17,0.875,1,0.660969,1,0.339031,0.795883,0.953804,1.048433,0.000045
232,0,118,18,0.867647,1,0.662857,1,0.337143,0.797251,0.951087,1.051429,0.000052
232,0,117,19,0.860294,1,0.664756,1,0.335244,0.798623,0.94837,1.054441,0.000066
232,0,116,20,0.852941,1,0.666667,1,0.333333,0.8,0.945652,1.057471,0.000115
232,0,115,21,0.845588,1,0.668588,1,0.331412,0.801382,0.942935,1.060519,0.00014
232,0,114,22,0.838235,1,0.67052,1,0.32948,0.802768,0.940217,1.063584,0.000149
231,1,114,22,0.838235,0.99569,0.669565,0.99569,0.330435,0.800693,0.9375,1.062069,0.000285
230,2,114,22,0.838235,0.991379,0.668605,0.991379,0.331395,0.798611,0.934783,1.060545,0.000312
229,3,114,22,0.838235,0.987069,0.667638,0.987069,0.332362,0.796522,0.932065,1.059013,0.000338
229,3,113,23,0.830882,0.987069,0.669591,0.987069,0.330409,0.797909,0.929348,1.062109,0.000402
229,3,112,24,0.823529,0.987069,0.671554,0.987069,0.328446,0.799302,0.92663,1.065224,0.000426
229,3,111,25,0.816176,0.987069,0.673529,0.987069,0.326471,0.800699,0.923913,1.068357,0.000581
229,3,110,26,0.808824,0.987069,0.675516,0.987069,0.324484,0.802102,0.921196,1.071508,0.000885
229,3,109,27,0.801471,0.987069,0.677515,0.987069,0.322485,0.803509,0.918478,1.074679,0.001048
229,3,108,28,0.794118,0.987069,0.679525,0.987069,0.320475,0.804921,0.915761,1.077868,0.001241
229,3,107,29,0.786765,0.987069,0.681548,0.987069,0.318452,0.806338,0.913043,1.081076,0.001281
229,3,106,30,0.779412,0.987069,0.683582,0.987069,0.316418,0.80776,0.910326,1.084303,0.001296
229,3,105,31,0.772059,0.987069,0.685629,0.987069,0.314371,0.809187,0.907609,1.087549,0.001504
229,3,104,32,0.764706,0.987069,0.687688,0.987069,0.312312,0.810619,0.904891,1.090815,0.001605
229,3,103,33,0.757353,0.987069,0.689759,0.987069,0.310241,0.812057,0.902174,1.094101,0.001693
228,4,103,33,0.757353,0.982759,0.688822,0.982759,0.311178,0.809947,0.899457,1.092614,0.001728
227,5,103,33,0.757353,0.978448,0.687879,0.978448,0.312121,0.807829,0.896739,1.091118,0.001874
227,5,102,34,0.75,0.978448,0.68997,0.978448,0.31003,0.809269,0.894022,1.094435,0.001881
227,5,101,35,0.742647,0.978448,0.692073,0.978448,0.307927,0.810714,0.891304,1.097771,0.002001
226,6,101,35,0.742647,0.974138,0.691131,0.974138,0.308869,0.808587,0.888587,1.096278,0.002132
225,7,101,35,0.742647,0.969828,0.690184,0.969828,0.309816,0.806452,0.88587,1.094775,0.003501
225,7,100,36,0.735294,0.969828,0.692308,0.969828,0.307692,0.807899,0.883152,1.098143,0.004073
225,7,99,37,0.727941,0.969828,0.694444,0.969828,0.305556,0.809353,0.880435,1.101533,0.004329
225,7,98,38,0.720588,0.969828,0.696594,0.969828,0.303406,0.810811,0.877717,1.104943,0.004586
225,7,97,39,0.713235,0.969828,0.698758,0.969828,0.301242,0.812274,0.875,1.108374,0.004652
225,7,96,40,0.705882,0.969828,0.700935,0.969828,0.299065,0.813743,0.872283,1.111827,0.005282
225,7,95,41,0.698529,0.969828,0.703125,0.969828,0.296875,0.815217,0.869565,1.115302,0.005668
225,7,94,42,0.691176,0.969828,0.705329,0.969828,0.294671,0.816697,0.866848,1.118798,0.00682
225,7,93,43,0.683824,0.969828,0.707547,0.969828,0.292453,0.818182,0.86413,1.122316,0.007896
225,7,92,44,0.676471,0.969828,0.709779,0.969828,0.290221,0.819672,0.861413,1.125857,0.008271
224,8,92,44,0.676471,0.965517,0.708861,0.965517,0.291139,0.817518,0.858696,1.1244,0.009353
224,8,91,45,0.669118,0.965517,0.711111,0.965517,0.288889,0.819013,0.855978,1.127969,0.00963
224,8,90,46,0.661765,0.965517,0.713376,0.965517,0.286624,0.820513,0.853261,1.131562,0.009673
224,8,89,47,0.654412,0.965517,0.715655,0.965517,0.284345,0.822018,0.850543,1.135177,0.010356
223,9,89,47,0.654412,0.961207,0.714744,0.961207,0.285256,0.819853,0.847826,1.133731,0.011897
223,9,88,48,0.647059,0.961207,0.717042,0.961207,0.282958,0.821363,0.845109,1.137377,0.012102
223,9,87,49,0.639706,0.961207,0.719355,0.961207,0.280645,0.822878,0.842391,1.141046,0.012115
222,10,87,49,0.639706,0.956897,0.718447,0.956897,0.281553,0.820702,0.839674,1.139605,0.013875
222,10,86,50,0.632353,0.956897,0.720779,0.956897,0.279221,0.822222,0.836957,1.143305,0.013982
222,10,85,51,0.625,0.956897,0.723127,0.956897,0.276873,0.823748,0.834239,1.147029,0.015749
222,10,84,52,0.617647,0.956897,0.72549,0.956897,0.27451,0.825279,0.831522,1.150778,0.016048
222,10,83,53,0.610294,0.956897,0.727869,0.956897,0.272131,0.826816,0.828804,1.154551,0.017333
221,11,83,53,0.610294,0.952586,0.726974,0.952586,0.273026,0.824627,0.826087,1.153131,0.018797
220,12,83,53,0.610294,0.948276,0.726073,0.948276,0.273927,0.82243,0.82337,1.151701,0.025162
220,12,82,54,0.602941,0.948276,0.728477,0.948276,0.271523,0.82397,0.820652,1.155515,0.026156
220,12,81,55,0.595588,0.948276,0.730897,0.948276,0.269103,0.825516,0.817935,1.159354,0.028617
219,13,81,55,0.595588,0.943966,0.73,0.943966,0.27,0.823308,0.815217,1.157931,0.029143
219,13,80,56,0.588235,0.943966,0.732441,0.943966,0.267559,0.824859,0.8125,1.161804,0.029645
219,13,79,57,0.580882,0.943966,0.734899,0.943966,0.265101,0.826415,0.809783,1.165702,0.030389
218,14,79,57,0.580882,0.939655,0.734007,0.939655,0.265993,0.824197,0.807065,1.164287,0.034489
218,14,78,58,0.573529,0.939655,0.736486,0.939655,0.263514,0.825758,0.804348,1.16822,0.035223
217,15,78,58,0.573529,0.935345,0.735593,0.935345,0.264407,0.823529,0.80163,1.166803,0.038385
216,16,78,58,0.573529,0.931034,0.734694,0.931034,0.265306,0.821293,0.798913,1.165376,0.040899
215,17,78,58,0.573529,0.926724,0.733788,0.926724,0.266212,0.819048,0.796196,1.16394,0.044515
214,18,78,58,0.573529,0.922414,0.732877,0.922414,0.267123,0.816794,0.793478,1.162494,0.045994
214,18,77,59,0.566176,0.922414,0.735395,0.922414,0.264605,0.818356,0.790761,1.166489,0.059473
213,19,77,59,0.566176,0.918103,0.734483,0.918103,0.265517,0.816092,0.788043,1.165042,0.070798
213,19,76,60,0.558824,0.918103,0.737024,0.918103,0.262976,0.817658,0.785326,1.169073,0.081632
212,20,76,60,0.558824,0.913793,0.736111,0.913793,0.263889,0.815385,0.782609,1.167625,0.093153
212,20,75,61,0.551471,0.913793,0.738676,0.913793,0.261324,0.816956,0.779891,1.171693,0.099049
212,20,74,62,0.544118,0.913793,0.741259,0.913793,0.258741,0.818533,0.777174,1.17579,0.103484
212,20,73,63,0.536765,0.913793,0.74386,0.913793,0.25614,0.820116,0.774457,1.179915,0.104926
211,21,73,63,0.536765,0.909483,0.742958,0.909483,0.257042,0.817829,0.771739,1.178485,0.118801
211,21,72,64,0.529412,0.909483,0.745583,0.909483,0.254417,0.819417,0.769022,1.182649,0.123834
210,22,72,64,0.529412,0.905172,0.744681,0.905172,0.255319,0.817121,0.766304,1.181218,0.126223
