'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0
232,0,135,1,0.992647,1,0.632153,1,0.367847,0.774624,0.997283,1.002725,0
232,0,134,2,0.985294,1,0.63388,1,0.36612,0.77592,0.994565,1.005464,0.000001
231,1,134,2,0.985294,0.99569,0.632877,0.99569,0.367123,0.773869,0.991848,1.003873,0.000001
231,1,133,3,0.977941,0.99569,0.634615,0.99569,0.365385,0.775168,0.98913,1.006631,0.000001
231,1,132,4,0.970588,0.99569,0.636364,0.99569,0.363636,0.776471,0.986413,1.009404,0.000001
231,1,131,5,0.963235,0.99569,0.638122,0.99569,0.361878,0.777778,0.983696,1.012193,0.000001
231,1,130,6,0.955882,0.99569,0.639889,0.99569,0.360111,0.779089,0.980978,1.014997,0.000001
231,1,129,7,0.948529,0.99569,0.641667,0.99569,0.358333,0.780405,0.978261,1.017816,0.000001
231,1,128,8,0.941176,0.99569,0.643454,0.99569,0.356546,0.781726,0.975543,1.020651,0.000001
231,1,127,9,0.933824,0.99569,0.645251,0.99569,0.354749,0.783051,0.972826,1.023502,0.000002
231,1,126,10,0.926471,0.99569,0.647059,0.99569,0.352941,0.78438,0.970109,1.026369,0.000002
231,1,125,11,0.919118,0.99569,0.648876,0.99569,0.351124,0.785714,0.967391,1.029252,0.000002
231,1,124,12,0.911765,0.99569,0.650704,0.99569,0.349296,0.787053,0.964674,1.032152,0.000004
231,1,123,13,0.904412,0.99569,0.652542,0.99569,0.347458,0.788396,0.961957,1.035067,0.000006
231,1,122,14,0.897059,0.99569,0.654391,0.99569,0.345609,0.789744,0.959239,1.037999,0.000008
231,1,121,15,0.889706,0.99569,0.65625,0.99569,0.34375,0.791096,0.956522,1.040948,0.00001
231,1,120,16,0.882353,0.99569,0.65812,0.99569,0.34188,0.792453,0.953804,1.043914,0.000012
231,1,119,17,0.875,0.99569,0.66,0.99569,0.34,0.793814,0.951087,1.046897,0.000012
231,1,118,18,0.867647,0.99569,0.661891,0.99569,0.338109,0.795181,0.94837,1.049896,0.000012
231,1,117,19,0.860294,0.99569,0.663793,0.99569,0.336207,0.796552,0.945652,1.052913,0.000018
230,2,117,19,0.860294,0.991379,0.662824,0.991379,0.337176,0.794473,0.942935,1.051376,0.000025
230,2,116,20,0.852941,0.991379,0.66474,0.991379,0.33526,0.795848,0.940217,1.054415,0.000028
230,2,115,21,0.845588,0.991379,0.666667,0.991379,0.333333,0.797227,0.9375,1.057471,0.000039
230,2,114,22,0.838235,0.991379,0.668605,0.991379,0.331395,0.798611,0.934783,1.060545,0.00004
230,2,113,23,0.830882,0.991379,0.670554,0.991379,0.329446,0.8,0.932065,1.063637,0.000042
230,2,112,24,0.823529,0.991379,0.672515,0.991379,0.327485,0.801394,0.929348,1.066747,0.000043
230,2,111,25,0.816176,0.991379,0.674487,0.991379,0.325513,0.802792,0.92663,1.069876,0.000046
230,2,110,26,0.808824,0.991379,0.676471,0.991379,0.323529,0.804196,0.923913,1.073022,0.000047
230,2,109,27,0.801471,0.991379,0.678466,0.991379,0.321534,0.805604,0.921196,1.076188,0.000054
230,2,108,28,0.794118,0.991379,0.680473,0.991379,0.319527,0.807018,0.918478,1.079372,0.00006
230,2,107,29,0.786765,0.991379,0.682493,0.991379,0.317507,0.808436,0.915761,1.082574,0.000061
230,2,106,30,0.779412,0.991379,0.684524,0.991379,0.315476,0.809859,0.913043,1.085796,0.000065
230,2,105,31,0.772059,0.991379,0.686567,0.991379,0.313433,0.811287,0.910326,1.089038,0.000089
230,2,104,32,0.764706,0.991379,0.688623,0.991379,0.311377,0.812721,0.907609,1.092298,0.000166
230,2,103,33,0.757353,0.991379,0.690691,0.991379,0.309309,0.814159,0.904891,1.095578,0.000179
230,2,102,34,0.75,0.991379,0.692771,0.991379,0.307229,0.815603,0.902174,1.098878,0.000184
230,2,101,35,0.742647,0.991379,0.694864,0.991379,0.305136,0.817052,0.899457,1.102198,0.000221
230,2,100,36,0.735294,0.991379,0.69697,0.991379,0.30303,0.818505,0.896739,1.105538,0.000222
230,2,99,37,0.727941,0.991379,0.699088,0.991379,0.300912,0.819964,0.894022,1.108898,0.000224
230,2,98,38,0.720588,0.991379,0.70122,0.991379,0.29878,0.821429,0.891304,1.112279,0.000273
229,3,98,38,0.720588,0.987069,0.700306,0.987069,0.299694,0.81932,0.888587,1.11083,0.000282
228,4,98,38,0.720588,0.982759,0.699387,0.982759,0.300613,0.817204,0.88587,1.109372,0.000282
228,4,97,39,0.713235,0.982759,0.701538,0.982759,0.298462,0.818671,0.883152,1.112785,0.000293
228,4,96,40,0.705882,0.982759,0.703704,0.982759,0.296296,0.820144,0.880435,1.11622,0.000318
227,5,96,40,0.705882,0.978448,0.702786,0.978448,0.297214,0.818018,0.877717,1.114765,0.000374
227,5,95,41,0.698529,0.978448,0.704969,0.978448,0.295031,0.819495,0.875,1.118227,0.000461
227,5,94,42,0.691176,0.978448,0.707165,0.978448,0.292835,0.820976,0.872283,1.12171,0.000477
227,5,93,43,0.683824,0.978448,0.709375,0.978448,0.290625,0.822464,0.869565,1.125216,0.000541
227,5,92,44,0.676471,0.978448,0.711599,0.978448,0.288401,0.823956,0.866848,1.128743,0.000542
227,5,91,45,0.669118,0.978448,0.713836,0.978448,0.286164,0.825455,0.86413,1.132292,0.000607
226,6,91,45,0.669118,0.974138,0.712934,0.974138,0.287066,0.823315,0.861413,1.13086,0.00071
226,6,90,46,0.661765,0.974138,0.71519,0.974138,0.28481,0.824818,0.858696,1.134439,0.000747
226,6,89,47,0.654412,0.974138,0.71746,0.974138,0.28254,0.826325,0.855978,1.138041,0.000761
226,6,88,48,0.647059,0.974138,0.719745,0.974138,0.280255,0.827839,0.853261,1.141665,0.000863
226,6,87,49,0.639706,0.974138,0.722045,0.974138,0.277955,0.829358,0.850543,1.145312,0.000867
226,6,86,50,0.632353,0.974138,0.724359,0.974138,0.275641,0.830882,0.847826,1.148983,0.000873
226,6,85,51,0.625,0.974138,0.726688,0.974138,0.273312,0.832413,0.845109,1.152678,0.00088
226,6,84,52,0.617647,0.974138,0.729032,0.974138,0.270968,0.833948,0.842391,1.156396,0.000999
226,6,83,53,0.610294,0.974138,0.731392,0.974138,0.268608,0.83549,0.839674,1.160138,0.001045
225,7,83,53,0.610294,0.969828,0.730519,0.969828,0.269481,0.833333,0.836957,1.158755,0.001148
224,8,83,53,0.610294,0.965517,0.729642,0.965517,0.270358,0.831169,0.834239,1.157363,0.001172
224,8,82,54,0.602941,0.965517,0.732026,0.965517,0.267974,0.832714,0.831522,1.161145,0.001179
224,8,81,55,0.595588,0.965517,0.734426,0.965517,0.265574,0.834264,0.828804,1.164952,0.00135
224,8,80,56,0.588235,0.965517,0.736842,0.965517,0.263158,0.835821,0.826087,1.168784,0.001481
224,8,79,57,0.580882,0.965517,0.739274,0.965517,0.260726,0.837383,0.82337,1.172641,0.002071
224,8,78,58,0.573529,0.965517,0.741722,0.965517,0.258278,0.838951,0.820652,1.176524,0.002119
224,8,77,59,0.566176,0.965517,0.744186,0.965517,0.255814,0.840525,0.817935,1.180433,0.002334
224,8,76,60,0.558824,0.965517,0.746667,0.965517,0.253333,0.842105,0.815217,1.184368,0.002511
223,9,76,60,0.558824,0.961207,0.745819,0.961207,0.254181,0.839925,0.8125,1.183024,0.002708
223,9,75,61,0.551471,0.961207,0.748322,0.961207,0.251678,0.841509,0.809783,1.186994,0.003092
223,9,74,62,0.544118,0.961207,0.750842,0.961207,0.249158,0.8431,0.807065,1.19099,0.003132
222,10,74,62,0.544118,0.956897,0.75,0.956897,0.25,0.840909,0.804348,1.189655,0.003209
222,10,73,63,0.536765,0.956897,0.752542,0.956897,0.247458,0.842505,0.80163,1.193688,0.003697
222,10,72,64,0.529412,0.956897,0.755102,0.956897,0.244898,0.844106,0.798913,1.197748,0.003976
222,10,71,65,0.522059,0.956897,0.757679,0.956897,0.242321,0.845714,0.796196,1.201836,0.004016
222,10,70,66,0.514706,0.956897,0.760274,0.956897,0.239726,0.847328,0.793478,1.205952,0.004119
221,11,70,66,0.514706,0.952586,0.75945,0.952586,0.24055,0.845124,0.790761,1.204645,0.004509
220,12,70,66,0.514706,0.948276,0.758621,0.948276,0.241379,0.842912,0.788043,1.203329,0.00451
220,12,69,67,0.507353,0.948276,0.761246,0.948276,0.238754,0.84453,0.785326,1.207493,0.004819
220,12,68,68,0.5,0.948276,0.763889,0.948276,0.236111,0.846154,0.782609,1.211686,0.005377
219,13,68,68,0.5,0.943966,0.763066,0.943966,0.236934,0.843931,0.779891,1.210381,0.005409
219,13,67,69,0.492647,0.943966,0.765734,0.943966,0.234266,0.84556,0.777174,1.214613,0.00549
219,13,66,70,0.485294,0.943966,0.768421,0.943966,0.231579,0.847195,0.774457,1.218875,0.006217
219,13,65,71,0.477941,0.943966,0.771127,0.943966,0.228873,0.848837,0.771739,1.223167,0.006562
