'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0.000019
232,0,135,1,0.992647,1,0.632153,1,0.367847,0.774624,0.997283,1.002725,0.000026
232,0,134,2,0.985294,1,0.63388,1,0.36612,0.77592,0.994565,1.005464,0.000046
232,0,133,3,0.977941,1,0.635616,1,0.364384,0.777219,0.991848,1.008219,0.000072
232,0,132,4,0.970588,1,0.637363,1,0.362637,0.778523,0.98913,1.010989,0.000073
232,0,131,5,0.963235,1,0.639118,1,0.360882,0.779832,0.986413,1.013774,0.000084
232,0,130,6,0.955882,1,0.640884,1,0.359116,0.781145,0.983696,1.016575,0.000105
232,0,129,7,0.948529,1,0.642659,1,0.357341,0.782462,0.980978,1.019391,0.00011
232,0,128,8,0.941176,1,0.644444,1,0.355556,0.783784,0.978261,1.022222,0.000238
232,0,127,9,0.933824,1,0.64624,1,0.35376,0.78511,0.975543,1.02507,0.000244
232,0,126,10,0.926471,1,0.648045,1,0.351955,0.786441,0.972826,1.027933,0.000252
232,0,125,11,0.919118,1,0.64986,1,0.35014,0.787776,0.970109,1.030812,0.000253
232,0,124,12,0.911765,1,0.651685,1,0.348315,0.789116,0.967391,1.033708,0.0003
232,0,123,13,0.904412,1,0.653521,1,0.346479,0.79046,0.964674,1.03662,0.000303
231,1,123,13,0.904412,0.99569,0.652542,0.99569,0.347458,0.788396,0.961957,1.035067,0.000306
231,1,122,14,0.897059,0.99569,0.654391,0.99569,0.345609,0.789744,0.959239,1.037999,0.000343
231,1,121,15,0.889706,0.99569,0.65625,0.99569,0.34375,0.791096,0.956522,1.040948,0.000355
231,1,120,16,0.882353,0.99569,0.65812,0.99569,0.34188,0.792453,0.953804,1.043914,0.000356
231,1,119,17,0.875,0.99569,0.66,0.99569,0.34,0.793814,0.951087,1.046897,0.000362
231,1,118,18,0.867647,0.99569,0.661891,0.99569,0.338109,0.795181,0.94837,1.049896,0.000367
231,1,117,19,0.860294,0.99569,0.663793,0.99569,0.336207,0.796552,0.945652,1.052913,0.000374
231,1,116,20,0.852941,0.99569,0.665706,0.99569,0.334294,0.797927,0.942935,1.055948,0.000394
231,1,115,21,0.845588,0.99569,0.66763,0.99569,0.33237,0.799308,0.940217,1.058999,0.000404
231,1,114,22,0.838235,0.99569,0.669565,0.99569,0.330435,0.800693,0.9375,1.062069,0.000414
231,1,113,23,0.830882,0.99569,0.671512,0.99569,0.328488,0.802083,0.934783,1.065156,0.000434
231,1,112,24,0.823529,0.99569,0.673469,0.99569,0.326531,0.803478,0.932065,1.068262,0.000446
231,1,111,25,0.816176,0.99569,0.675439,0.99569,0.324561,0.804878,0.929348,1.071385,0.000454
230,2,111,25,0.816176,0.991379,0.674487,0.991379,0.325513,0.802792,0.92663,1.069876,0.000456
230,2,110,26,0.808824,0.991379,0.676471,0.991379,0.323529,0.804196,0.923913,1.073022,0.000467
230,2,109,27,0.801471,0.991379,0.678466,0.991379,0.321534,0.805604,0.921196,1.076188,0.00048
230,2,108,28,0.794118,0.991379,0.680473,0.991379,0.319527,0.807018,0.918478,1.079372,0.000486
230,2,107,29,0.786765,0.991379,0.682493,0.991379,0.317507,0.808436,0.915761,1.082574,0.000524
230,2,106,30,0.779412,0.991379,0.684524,0.991379,0.315476,0.809859,0.913043,1.085796,0.00057
230,2,105,31,0.772059,0.991379,0.686567,0.991379,0.313433,0.811287,0.910326,1.089038,0.000641
230,2,104,32,0.764706,0.991379,0.688623,0.991379,0.311377,0.812721,0.907609,1.092298,0.000645
230,2,103,33,0.757353,0.991379,0.690691,0.991379,0.309309,0.814159,0.904891,1.095578,0.00079
230,2,102,34,0.75,0.991379,0.692771,0.991379,0.307229,0.815603,0.902174,1.098878,0.000932
230,2,101,35,0.742647,0.991379,0.694864,0.991379,0.305136,0.817052,0.899457,1.102198,0.001047
230,2,100,36,0.735294,0.991379,0.69697,0.991379,0.30303,0.818505,0.896739,1.105538,0.001096
230,2,99,37,0.727941,0.991379,0.699088,0.991379,0.300912,0.819964,0.894022,1.108898,0.001156
230,2,98,38,0.720588,0.991379,0.70122,0.991379,0.29878,0.821429,0.891304,1.112279,0.001433
230,2,97,39,0.713235,0.991379,0.703364,0.991379,0.296636,0.822898,0.888587,1.115681,0.001549
230,2,96,40,0.705882,0.991379,0.705521,0.991379,0.294479,0.824373,0.88587,1.119103,0.001558
230,2,95,41,0.698529,0.991379,0.707692,0.991379,0.292308,0.825853,0.883152,1.122546,0.001619
230,2,94,42,0.691176,0.991379,0.709877,0.991379,0.290123,0.827338,0.880435,1.126011,0.001788
229,3,94,42,0.691176,0.987069,0.708978,0.987069,0.291022,0.825225,0.877717,1.124586,0.00185
229,3,93,43,0.683824,0.987069,0.71118,0.987069,0.28882,0.826715,0.875,1.128079,0.001859
229,3,92,44,0.676471,0.987069,0.713396,0.987069,0.286604,0.82821,0.872283,1.131593,0.002067
229,3,91,45,0.669118,0.987069,0.715625,0.987069,0.284375,0.82971,0.869565,1.135129,0.002071
228,4,91,45,0.669118,0.982759,0.714734,0.982759,0.285266,0.827586,0.866848,1.133715,0.002115
228,4,90,46,0.661765,0.982759,0.716981,0.982759,0.283019,0.829091,0.86413,1.13728,0.002166
228,4,89,47,0.654412,0.982759,0.719243,0.982759,0.280757,0.830601,0.861413,1.140868,0.002273
228,4,88,48,0.647059,0.982759,0.721519,0.982759,0.278481,0.832117,0.858696,1.144478,0.002312
228,4,87,49,0.639706,0.982759,0.72381,0.982759,0.27619,0.833638,0.855978,1.148112,0.002384
228,4,86,50,0.632353,0.982759,0.726115,0.982759,0.273885,0.835165,0.853261,1.151768,0.002976
228,4,85,51,0.625,0.982759,0.728435,0.982759,0.271565,0.836697,0.850543,1.155448,0.003088
228,4,84,52,0.617647,0.982759,0.730769,0.982759,0.269231,0.838235,0.847826,1.159151,0.003114
228,4,83,53,0.610294,0.982759,0.733119,0.982759,0.266881,0.839779,0.845109,1.162878,0.003604
228,4,82,54,0.602941,0.982759,0.735484,0.982759,0.264516,0.841328,0.842391,1.16663,0.003636
228,4,81,55,0.595588,0.982759,0.737864,0.982759,0.262136,0.842884,0.839674,1.170405,0.0045
228,4,80,56,0.588235,0.982759,0.74026,0.982759,0.25974,0.844444,0.836957,1.174205,0.00466
228,4,79,57,0.580882,0.982759,0.742671,0.982759,0.257329,0.846011,0.834239,1.17803,0.004703
228,4,78,58,0.573529,0.982759,0.745098,0.982759,0.254902,0.847584,0.831522,1.18188,0.005023
228,4,77,59,0.566176,0.982759,0.747541,0.982759,0.252459,0.849162,0.828804,1.185755,0.005494
228,4,76,60,0.558824,0.982759,0.75,0.982759,0.25,0.850746,0.826087,1.189655,0.005645
228,4,75,61,0.551471,0.982759,0.752475,0.982759,0.247525,0.852336,0.82337,1.193581,0.006025
