'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
232,0,136,0,1,1,0.630435,1,0.369565,0.773333,1,1,0.01
232,0,135,1,0.992647,1,0.632153,1,0.367847,0.774624,0.997283,1.002725,0.011111
232,0,134,2,0.985294,1,0.63388,1,0.36612,0.77592,0.994565,1.005464,0.02
232,0,133,3,0.977941,1,0.635616,1,0.364384,0.777219,0.991848,1.008219,0.020303
232,0,132,4,0.970588,1,0.637363,1,0.362637,0.778523,0.98913,1.010989,0.026875
232,0,131,5,0.963235,1,0.639118,1,0.360882,0.779832,0.986413,1.013774,0.03
232,0,130,6,0.955882,1,0.640884,1,0.359116,0.781145,0.983696,1.016575,0.04
232,0,129,7,0.948529,1,0.642659,1,0.357341,0.782462,0.980978,1.019391,0.041
232,0,128,8,0.941176,1,0.644444,1,0.355556,0.783784,0.978261,1.022222,0.041935
232,0,127,9,0.933824,1,0.64624,1,0.35376,0.78511,0.975543,1.02507,0.045589
232,0,126,10,0.926471,1,0.648045,1,0.351955,0.786441,0.972826,1.027933,0.049127
232,0,125,11,0.919118,1,0.64986,1,0.35014,0.787776,0.970109,1.030812,0.05
232,0,124,12,0.911765,1,0.651685,1,0.348315,0.789116,0.967391,1.033708,0.05574
232,0,123,13,0.904412,1,0.653521,1,0.346479,0.79046,0.964674,1.03662,0.059813
232,0,122,14,0.897059,1,0.655367,1,0.344633,0.791809,0.961957,1.039548,0.06
232,0,121,15,0.889706,1,0.657224,1,0.342776,0.793162,0.959239,1.042493,0.063333
232,0,120,16,0.882353,1,0.659091,1,0.340909,0.794521,0.956522,1.045455,0.063542
232,0,119,17,0.875,1,0.660969,1,0.339031,0.795883,0.953804,1.048433,0.07
232,0,118,18,0.867647,1,0.662857,1,0.337143,0.797251,0.951087,1.051429,0.08
232,0,116,20,0.852941,1,0.666667,1,0.333333,0.8,0.945652,1.057471,0.082145
232,0,115,21,0.845588,1,0.668588,1,0.331412,0.801382,0.942935,1.060519,0.082917
232,0,114,22,0.838235,1,0.67052,1,0.32948,0.802768,0.940217,1.063584,0.086667
232,0,113,23,0.830882,1,0.672464,1,0.327536,0.804159,0.9375,1.066667,0.089252
232,0,112,24,0.823529,1,0.674419,1,0.325581,0.805556,0.934783,1.069767,0.098333
232,0,111,25,0.816176,1,0.676385,1,0.323615,0.806957,0.932065,1.072886,0.098584
232,0,110,26,0.808824,1,0.678363,1,0.321637,0.808362,0.929348,1.076023,0.1
232,0,108,28,0.794118,1,0.682353,1,0.317647,0.811189,0.923913,1.082353,0.100952
