'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
307,0,383,0,1,1,0.444928,1,0.555072,0.615848,1,1,0
301,6,377,6,0.984334,0.980456,0.443953,0.980456,0.556047,0.611168,0.982609,0.997809,0.033835
298,9,348,35,0.908616,0.970684,0.4613,0.970684,0.5387,0.625393,0.936232,1.036799,0.037453
296,11,319,64,0.832898,0.964169,0.481301,0.964169,0.518699,0.642082,0.891304,1.081751,0.040892
295,12,291,92,0.759791,0.960912,0.503413,0.960912,0.496587,0.660694,0.849275,1.131449,0.041353
294,13,260,123,0.678851,0.957655,0.530686,0.957655,0.469314,0.682927,0.802899,1.192747,0.041667
293,14,227,156,0.592689,0.954397,0.563462,0.954397,0.436538,0.708585,0.753623,1.266412,0.06689
290,17,200,183,0.522193,0.944625,0.591837,0.944625,0.408163,0.727729,0.710145,1.330187,0.067114
287,20,172,211,0.449086,0.934853,0.625272,0.934853,0.374728,0.749347,0.665217,1.405335,0.067568
284,23,142,241,0.370757,0.925081,0.666667,0.925081,0.333333,0.774898,0.617391,1.498371,0.071186
282,25,110,273,0.287206,0.918567,0.719388,0.918567,0.280612,0.806867,0.568116,1.616865,0.07309
281,26,83,300,0.21671,0.915309,0.771978,0.915309,0.228022,0.837556,0.527536,1.735065,0.1
280,27,82,301,0.214099,0.912052,0.773481,0.912052,0.226519,0.83707,0.524638,1.738442,0.111111
279,28,81,302,0.211488,0.908795,0.775,0.908795,0.225,0.836582,0.521739,1.741857,0.142857
279,28,79,304,0.206266,0.908795,0.77933,0.908795,0.22067,0.839098,0.518841,1.751588,0.176471
278,29,77,306,0.201044,0.905537,0.783099,0.905537,0.216901,0.839879,0.514493,1.760059,0.181818
278,29,75,308,0.195822,0.905537,0.787535,0.905537,0.212465,0.842424,0.511594,1.770031,0.2
276,31,74,309,0.193211,0.899023,0.788571,0.899023,0.211429,0.840183,0.507246,1.772359,0.210526
276,31,72,311,0.18799,0.899023,0.793103,0.899023,0.206897,0.842748,0.504348,1.782545,0.222222
276,31,70,313,0.182768,0.899023,0.797688,0.899023,0.202312,0.845329,0.501449,1.792849,0.230769
275,32,69,314,0.180157,0.895765,0.799419,0.895765,0.200581,0.844854,0.498551,1.796739,0.235294
275,32,66,317,0.172324,0.895765,0.806452,0.895765,0.193548,0.848765,0.494203,1.812546,0.25
275,32,63,320,0.164491,0.895765,0.813609,0.895765,0.186391,0.852713,0.489855,1.828634,0.285714
273,34,61,322,0.159269,0.889251,0.817365,0.889251,0.182635,0.851794,0.484058,1.837075,0.291667
271,36,60,323,0.156658,0.882736,0.818731,0.882736,0.181269,0.84953,0.47971,1.840145,0.307692
271,36,58,325,0.151436,0.882736,0.823708,0.882736,0.176292,0.852201,0.476812,1.851331,0.333333
268,39,55,328,0.143603,0.872964,0.829721,0.872964,0.170279,0.850794,0.468116,1.864846,0.35
267,40,55,328,0.143603,0.869707,0.829193,0.869707,0.170807,0.848967,0.466667,1.863658,0.365079
