'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
700,0,300,0,1,1,0.7,1,0.3,0.823529,1,1,0
661,39,251,49,0.836667,0.944286,0.724781,0.944286,0.275219,0.820099,0.912,1.035401,0.066667
660,40,250,50,0.833333,0.942857,0.725275,0.942857,0.274725,0.819876,0.91,1.036107,0.071429
659,41,250,50,0.833333,0.941429,0.724972,0.941429,0.275028,0.819142,0.909,1.035675,0.095238
656,44,249,51,0.83,0.937143,0.724862,0.937143,0.275138,0.817445,0.905,1.035517,0.105263
655,45,249,51,0.83,0.935714,0.724558,0.935714,0.275442,0.816708,0.904,1.035082,0.111111
654,46,248,52,0.826667,0.934286,0.725055,0.934286,0.274945,0.816479,0.902,1.035793,0.117647
653,47,247,53,0.823333,0.932857,0.725556,0.932857,0.274444,0.81625,0.9,1.036508,0.125
652,48,246,54,0.82,0.931429,0.726058,0.931429,0.273942,0.81602,0.898,1.037226,0.142857
651,49,246,54,0.82,0.93,0.725753,0.93,0.274247,0.815279,0.897,1.036789,0.153846
648,52,244,56,0.813333,0.925714,0.726457,0.925714,0.273543,0.81407,0.892,1.037796,0.157895
645,55,240,60,0.8,0.921429,0.728814,0.921429,0.271186,0.81388,0.885,1.041162,0.166667
639,61,235,65,0.783333,0.912857,0.731121,0.912857,0.268879,0.811944,0.874,1.044459,0.181818
638,62,234,66,0.78,0.911429,0.731651,0.911429,0.268349,0.811705,0.872,1.045216,0.2
634,66,228,72,0.76,0.905714,0.735499,0.905714,0.264501,0.81178,0.862,1.050713,0.222222
629,71,226,74,0.753333,0.898571,0.735673,0.898571,0.264327,0.809003,0.855,1.050961,0.235294
628,72,223,77,0.743333,0.897143,0.737955,0.897143,0.262045,0.8098,0.851,1.054222,0.25
624,76,220,80,0.733333,0.891429,0.739336,0.891429,0.260664,0.80829,0.844,1.056195,0.26087
622,78,220,80,0.733333,0.888571,0.738717,0.888571,0.261283,0.806744,0.842,1.05531,0.266667
620,80,219,81,0.73,0.885714,0.738975,0.885714,0.261025,0.805718,0.839,1.055679,0.277778
615,85,214,86,0.713333,0.878571,0.741858,0.878571,0.258142,0.804447,0.829,1.059797,0.285714
614,86,209,91,0.696667,0.877143,0.746051,0.877143,0.253949,0.806303,0.823,1.065787,0.290323
613,87,209,91,0.696667,0.875714,0.745742,0.875714,0.254258,0.805519,0.822,1.065346,0.314815
608,92,205,95,0.683333,0.868571,0.747847,0.868571,0.252153,0.803701,0.813,1.068354,0.333333
600,100,197,103,0.656667,0.857143,0.752823,0.857143,0.247177,0.801603,0.797,1.075462,0.369231
599,101,192,108,0.64,0.855714,0.757269,0.855714,0.242731,0.803488,0.791,1.081813,0.375
597,103,188,112,0.626667,0.852857,0.76051,0.852857,0.23949,0.80404,0.785,1.086442,0.384615
597,103,187,113,0.623333,0.852857,0.76148,0.852857,0.23852,0.804582,0.784,1.087828,0.388889
595,105,184,116,0.613333,0.85,0.7638,0.85,0.2362,0.804598,0.779,1.091142,0.4
593,107,183,117,0.61,0.847143,0.764175,0.847143,0.235825,0.803523,0.776,1.091679,0.409091
590,110,183,117,0.61,0.842857,0.76326,0.842857,0.23674,0.801086,0.773,1.090371,0.416667
589,111,183,117,0.61,0.841429,0.762953,0.841429,0.237047,0.800272,0.772,1.089933,0.466667
588,112,183,117,0.61,0.84,0.762646,0.84,0.237354,0.799456,0.771,1.089494,0.5
587,113,182,118,0.606667,0.838571,0.763329,0.838571,0.236671,0.799183,0.769,1.09047,0.526316
587,113,181,119,0.603333,0.838571,0.764323,0.838571,0.235677,0.799728,0.768,1.09189,0.533333
586,114,181,119,0.603333,0.837143,0.764016,0.837143,0.235984,0.798909,0.767,1.091451,0.555556
584,116,179,121,0.596667,0.834286,0.7654,0.834286,0.2346,0.79836,0.763,1.093428,0.583333
583,117,178,122,0.593333,0.832857,0.766097,0.832857,0.233903,0.798084,0.761,1.094425,0.6
582,118,178,122,0.593333,0.831429,0.765789,0.831429,0.234211,0.79726,0.76,1.093985,0.636364
582,118,176,124,0.586667,0.831429,0.76781,0.831429,0.23219,0.798354,0.758,1.096871,0.642857
582,118,174,126,0.58,0.831429,0.769841,0.831429,0.230159,0.799451,0.756,1.099773,0.653846
580,120,170,130,0.566667,0.828571,0.773333,0.828571,0.226667,0.8,0.75,1.104762,0.655738
575,125,164,136,0.546667,0.821429,0.778078,0.821429,0.221922,0.799166,0.739,1.111541,0.666667
565,135,150,150,0.5,0.807143,0.79021,0.807143,0.20979,0.798587,0.715,1.128871,0.679245
560,140,150,150,0.5,0.8,0.788732,0.8,0.211268,0.794326,0.71,1.126761,0.68
560,140,149,151,0.496667,0.8,0.789845,0.8,0.210155,0.79489,0.709,1.12835,0.7
554,146,146,154,0.486667,0.791429,0.791429,0.791429,0.208571,0.791429,0.7,1.130612,0.714286
551,149,144,156,0.48,0.787143,0.792806,0.787143,0.207194,0.789964,0.695,1.13258,0.717391
547,153,142,158,0.473333,0.781429,0.793904,0.781429,0.206096,0.787617,0.689,1.134149,0.727273
545,155,142,158,0.473333,0.778571,0.793304,0.778571,0.206696,0.785869,0.687,1.133292,0.729167
543,157,139,161,0.463333,0.775714,0.796188,0.775714,0.203812,0.785818,0.682,1.137411,0.733333
539,161,136,164,0.453333,0.77,0.798519,0.77,0.201481,0.784,0.675,1.140741,0.75
523,177,131,169,0.436667,0.747143,0.799694,0.747143,0.200306,0.772526,0.654,1.14242,0.753425
512,188,125,175,0.416667,0.731429,0.803768,0.731429,0.196232,0.765894,0.637,1.14824,0.754386
506,194,125,175,0.416667,0.722857,0.801902,0.722857,0.198098,0.760331,0.631,1.145574,0.755556
502,198,123,177,0.41,0.717143,0.8032,0.717143,0.1968,0.757736,0.625,1.147429,0.759259
494,206,122,178,0.406667,0.705714,0.801948,0.705714,0.198052,0.75076,0.616,1.14564,0.767857
488,212,121,179,0.403333,0.697143,0.801314,0.697143,0.198686,0.745607,0.609,1.144734,0.769231
487,213,121,179,0.403333,0.695714,0.800987,0.695714,0.199013,0.744648,0.608,1.144267,0.777778
479,221,117,183,0.39,0.684286,0.803691,0.684286,0.196309,0.739198,0.596,1.14813,0.781818
473,227,115,185,0.383333,0.675714,0.804422,0.675714,0.195578,0.734472,0.588,1.149174,0.793103
470,230,114,186,0.38,0.671429,0.804795,0.671429,0.195205,0.732087,0.584,1.149706,0.8
466,234,111,189,0.37,0.665714,0.807626,0.665714,0.192374,0.729836,0.577,1.153751,0.806452
465,235,110,190,0.366667,0.664286,0.808696,0.664286,0.191304,0.729412,0.575,1.15528,0.807692
