'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
700,0,300,0,1,1,0.7,1,0.3,0.823529,1,1,0
700,0,299,1,0.996667,1,0.700701,1,0.299299,0.824014,0.999,1.001001,0
699,1,299,1,0.996667,0.998571,0.700401,0.998571,0.299599,0.823322,0.998,1.000573,0
699,1,298,2,0.993333,0.998571,0.701103,0.998571,0.298897,0.823807,0.997,1.001576,0
699,1,297,3,0.99,0.998571,0.701807,0.998571,0.298193,0.824292,0.996,1.002582,0
699,1,296,4,0.986667,0.998571,0.702513,0.998571,0.297487,0.824779,0.995,1.003589,0
699,1,295,5,0.983333,0.998571,0.703219,0.998571,0.296781,0.825266,0.994,1.004599,0
699,1,294,6,0.98,0.998571,0.703927,0.998571,0.296073,0.825753,0.993,1.005611,0.000001
699,1,293,7,0.976667,0.998571,0.704637,0.998571,0.295363,0.826241,0.992,1.006624,0.000001
699,1,292,8,0.973333,0.998571,0.705348,0.998571,0.294652,0.82673,0.991,1.00764,0.000001
698,2,292,8,0.973333,0.997143,0.705051,0.997143,0.294949,0.826036,0.99,1.007215,0.000005
698,2,291,9,0.97,0.997143,0.705763,0.997143,0.294237,0.826525,0.989,1.008233,0.000009
698,2,290,10,0.966667,0.997143,0.706478,0.997143,0.293522,0.827014,0.988,1.009254,0.000021
697,3,290,10,0.966667,0.995714,0.70618,0.995714,0.29382,0.826319,0.987,1.008829,0.000029
696,4,290,10,0.966667,0.994286,0.705882,0.994286,0.294118,0.825623,0.986,1.008403,0.00003
696,4,289,11,0.963333,0.994286,0.706599,0.994286,0.293401,0.826113,0.985,1.009427,0.000032
696,4,288,12,0.96,0.994286,0.707317,0.994286,0.292683,0.826603,0.984,1.010453,0.000053
695,5,288,12,0.96,0.992857,0.707019,0.992857,0.292981,0.825906,0.983,1.010028,0.000062
695,5,287,13,0.956667,0.992857,0.707739,0.992857,0.292261,0.826397,0.982,1.011056,0.000109
695,5,286,14,0.953333,0.992857,0.708461,0.992857,0.291539,0.826889,0.981,1.012087,0.00013
695,5,285,15,0.95,0.992857,0.709184,0.992857,0.290816,0.827381,0.98,1.01312,0.000133
695,5,284,16,0.946667,0.992857,0.709908,0.992857,0.290092,0.827874,0.979,1.014154,0.000168
695,5,283,17,0.943333,0.992857,0.710634,0.992857,0.289366,0.828367,0.978,1.015191,0.000296
694,6,283,17,0.943333,0.991429,0.710338,0.991429,0.289662,0.827668,0.977,1.014768,0.000342
694,6,282,18,0.94,0.991429,0.711066,0.991429,0.288934,0.828162,0.976,1.015808,0.000375
694,6,281,19,0.936667,0.991429,0.711795,0.991429,0.288205,0.828657,0.975,1.01685,0.000408
694,6,280,20,0.933333,0.991429,0.712526,0.991429,0.287474,0.829152,0.974,1.017894,0.000529
693,7,280,20,0.933333,0.99,0.71223,0.99,0.28777,0.828452,0.973,1.017472,0.000596
693,7,279,21,0.93,0.99,0.712963,0.99,0.287037,0.828947,0.972,1.018519,0.000636
692,8,279,21,0.93,0.988571,0.712667,0.988571,0.287333,0.828247,0.971,1.018096,0.000678
691,9,279,21,0.93,0.987143,0.712371,0.987143,0.287629,0.827545,0.97,1.017673,0.000768
691,9,278,22,0.926667,0.987143,0.713106,0.987143,0.286894,0.828041,0.969,1.018723,0.000961
690,10,278,22,0.926667,0.985714,0.71281,0.985714,0.28719,0.827338,0.968,1.0183,0.000974
689,11,278,22,0.926667,0.984286,0.712513,0.984286,0.287487,0.826635,0.967,1.017876,0.001313
688,12,278,22,0.926667,0.982857,0.712215,0.982857,0.287785,0.82593,0.966,1.01745,0.001336
688,12,277,23,0.923333,0.982857,0.712953,0.982857,0.287047,0.826426,0.965,1.018505,0.001857
688,12,276,24,0.92,0.982857,0.713693,0.982857,0.286307,0.826923,0.964,1.019561,0.002129
687,13,276,24,0.92,0.981429,0.713396,0.981429,0.286604,0.826218,0.963,1.019137,0.002609
686,14,276,24,0.92,0.98,0.713098,0.98,0.286902,0.825511,0.962,1.018711,0.002682
686,14,275,25,0.916667,0.98,0.71384,0.98,0.28616,0.826008,0.961,1.019771,0.002813
685,15,275,25,0.916667,0.978571,0.713542,0.978571,0.286458,0.825301,0.96,1.019345,0.003048
685,15,274,26,0.913333,0.978571,0.714286,0.978571,0.285714,0.825799,0.959,1.020408,0.003448
684,16,274,26,0.913333,0.977143,0.713987,0.977143,0.286013,0.82509,0.958,1.019982,0.004037
684,16,273,27,0.91,0.977143,0.714734,0.977143,0.285266,0.825588,0.957,1.021048,0.004221
683,17,273,27,0.91,0.975714,0.714435,0.975714,0.285565,0.824879,0.956,1.020622,0.004429
683,17,272,28,0.906667,0.975714,0.715183,0.975714,0.284817,0.825378,0.955,1.02169,0.00537
683,17,271,29,0.903333,0.975714,0.715933,0.975714,0.284067,0.825877,0.954,1.022761,0.005598
682,18,271,29,0.903333,0.974286,0.715635,0.974286,0.284365,0.825166,0.953,1.022335,0.006592
682,18,270,30,0.9,0.974286,0.716387,0.974286,0.283613,0.825666,0.952,1.023409,0.006701
682,18,269,31,0.896667,0.974286,0.71714,0.974286,0.28286,0.826166,0.951,1.024486,0.006754
682,18,268,32,0.893333,0.974286,0.717895,0.974286,0.282105,0.826667,0.95,1.025564,0.00729
681,19,268,32,0.893333,0.972857,0.717597,0.972857,0.282403,0.825955,0.949,1.025139,0.007526
681,19,267,33,0.89,0.972857,0.718354,0.972857,0.281646,0.826456,0.948,1.026221,0.008251
680,20,267,33,0.89,0.971429,0.718057,0.971429,0.281943,0.825744,0.947,1.025796,0.008598
679,21,267,33,0.89,0.97,0.717759,0.97,0.282241,0.82503,0.946,1.02537,0.008947
678,22,267,33,0.89,0.968571,0.71746,0.968571,0.28254,0.824316,0.945,1.024943,0.010512
677,23,267,33,0.89,0.967143,0.717161,0.967143,0.282839,0.823601,0.944,1.024516,0.010867
