'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
700,0,300,0,1,1,0.7,1,0.3,0.823529,1,1,0
700,0,299,1,0.996667,1,0.700701,1,0.299299,0.824014,0.999,1.001001,0
700,0,298,2,0.993333,1,0.701403,1,0.298597,0.824499,0.998,1.002004,0.000001
700,0,297,3,0.99,1,0.702106,1,0.297894,0.824985,0.997,1.003009,0.000002
700,0,296,4,0.986667,1,0.702811,1,0.297189,0.825472,0.996,1.004016,0.000002
700,0,295,5,0.983333,1,0.703518,1,0.296482,0.825959,0.995,1.005025,0.000002
700,0,294,6,0.98,1,0.704225,1,0.295775,0.826446,0.994,1.006036,0.000004
700,0,293,7,0.976667,1,0.704935,1,0.295065,0.826934,0.993,1.007049,0.000004
700,0,292,8,0.973333,1,0.705645,1,0.294355,0.827423,0.992,1.008065,0.000004
700,0,291,9,0.97,1,0.706357,1,0.293643,0.827912,0.991,1.009082,0.000005
700,0,290,10,0.966667,1,0.707071,1,0.292929,0.828402,0.99,1.010101,0.000007
700,0,289,11,0.963333,1,0.707786,1,0.292214,0.828893,0.989,1.011122,0.000008
700,0,288,12,0.96,1,0.708502,1,0.291498,0.829384,0.988,1.012146,0.000009
699,1,288,12,0.96,0.998571,0.708207,0.998571,0.291793,0.82869,0.987,1.011724,0.000011
699,1,287,13,0.956667,0.998571,0.708925,0.998571,0.291075,0.829181,0.986,1.01275,0.000011
699,1,286,14,0.953333,0.998571,0.709645,0.998571,0.290355,0.829674,0.985,1.013778,0.000014
698,2,286,14,0.953333,0.997143,0.70935,0.997143,0.29065,0.828979,0.984,1.013357,0.000016
698,2,285,15,0.95,0.997143,0.710071,0.997143,0.289929,0.829471,0.983,1.014387,0.000016
698,2,284,16,0.946667,0.997143,0.710794,0.997143,0.289206,0.829964,0.982,1.01542,0.000017
697,3,284,16,0.946667,0.995714,0.710499,0.995714,0.289501,0.829268,0.981,1.014999,0.000019
697,3,283,17,0.943333,0.995714,0.711224,0.995714,0.288776,0.829762,0.98,1.016035,0.000021
697,3,282,18,0.94,0.995714,0.711951,0.995714,0.288049,0.830256,0.979,1.017073,0.000023
697,3,281,19,0.936667,0.995714,0.712679,0.995714,0.287321,0.830751,0.978,1.018113,0.000024
697,3,280,20,0.933333,0.995714,0.713408,0.995714,0.286592,0.831246,0.977,1.019155,0.000031
697,3,279,21,0.93,0.995714,0.714139,0.995714,0.285861,0.831742,0.976,1.020199,0.000034
696,4,279,21,0.93,0.994286,0.713846,0.994286,0.286154,0.831045,0.975,1.01978,0.000038
696,4,278,22,0.926667,0.994286,0.714579,0.994286,0.285421,0.831541,0.974,1.020827,0.000038
695,5,278,22,0.926667,0.992857,0.714286,0.992857,0.285714,0.830843,0.973,1.020408,0.00004
695,5,277,23,0.923333,0.992857,0.715021,0.992857,0.284979,0.83134,0.972,1.021458,0.000045
695,5,276,24,0.92,0.992857,0.715757,0.992857,0.284243,0.831837,0.971,1.02251,0.000058
695,5,275,25,0.916667,0.992857,0.716495,0.992857,0.283505,0.832335,0.97,1.023564,0.000062
695,5,274,26,0.913333,0.992857,0.717234,0.992857,0.282766,0.832834,0.969,1.02462,0.000069
695,5,273,27,0.91,0.992857,0.717975,0.992857,0.282025,0.833333,0.968,1.025679,0.000075
695,5,272,28,0.906667,0.992857,0.718718,0.992857,0.281282,0.833833,0.967,1.02674,0.000096
695,5,271,29,0.903333,0.992857,0.719462,0.992857,0.280538,0.834334,0.966,1.027802,0.000109
695,5,270,30,0.9,0.992857,0.720207,0.992857,0.279793,0.834835,0.965,1.028868,0.000109
695,5,269,31,0.896667,0.992857,0.720954,0.992857,0.279046,0.835337,0.964,1.029935,0.000109
695,5,268,32,0.893333,0.992857,0.721703,0.992857,0.278297,0.835839,0.963,1.031004,0.000141
694,6,268,32,0.893333,0.991429,0.721414,0.991429,0.278586,0.835138,0.962,1.030591,0.000164
694,6,267,33,0.89,0.991429,0.722164,0.991429,0.277836,0.835641,0.961,1.031663,0.000165
693,7,267,33,0.89,0.99,0.721875,0.99,0.278125,0.83494,0.96,1.03125,0.00017
693,7,266,34,0.886667,0.99,0.722628,0.99,0.277372,0.835443,0.959,1.032325,0.000173
693,7,265,35,0.883333,0.99,0.723382,0.99,0.276618,0.835947,0.958,1.033403,0.000202
693,7,264,36,0.88,0.99,0.724138,0.99,0.275862,0.836451,0.957,1.034483,0.00024
692,8,264,36,0.88,0.988571,0.723849,0.988571,0.276151,0.835749,0.956,1.034071,0.000288
692,8,263,37,0.876667,0.988571,0.724607,0.988571,0.275393,0.836254,0.955,1.035153,0.000308
691,9,263,37,0.876667,0.987143,0.724319,0.987143,0.275681,0.83555,0.954,1.034741,0.000345
690,10,263,37,0.876667,0.985714,0.724029,0.985714,0.275971,0.834846,0.953,1.034328,0.00036
690,10,262,38,0.873333,0.985714,0.72479,0.985714,0.27521,0.835351,0.952,1.035414,0.000401
690,10,261,39,0.87,0.985714,0.725552,0.985714,0.274448,0.835857,0.951,1.036503,0.000409
690,10,260,40,0.866667,0.985714,0.726316,0.985714,0.273684,0.836364,0.95,1.037594,0.000473
689,11,260,40,0.866667,0.984286,0.726027,0.984286,0.273973,0.835658,0.949,1.037182,0.00055
688,12,260,40,0.866667,0.982857,0.725738,0.982857,0.274262,0.834951,0.948,1.036769,0.000564
688,12,259,41,0.863333,0.982857,0.726505,0.982857,0.273495,0.835458,0.947,1.037864,0.000617
688,12,258,42,0.86,0.982857,0.727273,0.982857,0.272727,0.835966,0.946,1.038961,0.000631
688,12,257,43,0.856667,0.982857,0.728042,0.982857,0.271958,0.836474,0.945,1.04006,0.000647
688,12,256,44,0.853333,0.982857,0.728814,0.982857,0.271186,0.836983,0.944,1.041162,0.00073
688,12,255,45,0.85,0.982857,0.729586,0.982857,0.270414,0.837492,0.943,1.042266,0.000764
