'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
700,0,300,0,1,1,0.7,1,0.3,0.823529,1,1,0.143402
700,0,299,1,0.996667,1,0.700701,1,0.299299,0.824014,0.999,1.001001,0.1552
700,0,298,2,0.993333,1,0.701403,1,0.298597,0.824499,0.998,1.002004,0.169937
699,1,298,2,0.993333,0.998571,0.701103,0.998571,0.298897,0.823807,0.997,1.001576,0.192
698,2,298,2,0.993333,0.997143,0.700803,0.997143,0.299197,0.823113,0.996,1.001147,0.197432
698,2,297,3,0.99,0.997143,0.701508,0.997143,0.298492,0.823599,0.995,1.002154,0.199153
698,2,296,4,0.986667,0.997143,0.702213,0.997143,0.297787,0.824085,0.994,1.003162,0.200575
698,2,295,5,0.983333,0.997143,0.70292,0.997143,0.29708,0.824572,0.993,1.004172,0.203894
698,2,294,6,0.98,0.997143,0.703629,0.997143,0.296371,0.825059,0.992,1.005184,0.207333
698,2,293,7,0.976667,0.997143,0.704339,0.997143,0.295661,0.825547,0.991,1.006199,0.207913
698,2,292,8,0.973333,0.997143,0.705051,0.997143,0.294949,0.826036,0.99,1.007215,0.212172
698,2,291,9,0.97,0.997143,0.705763,0.997143,0.294237,0.826525,0.989,1.008233,0.241069
697,3,291,9,0.97,0.995714,0.705466,0.995714,0.294534,0.825829,0.988,1.007808,0.244176
697,3,290,10,0.966667,0.995714,0.70618,0.995714,0.29382,0.826319,0.987,1.008829,0.249617
697,3,289,11,0.963333,0.995714,0.706897,0.995714,0.293103,0.826809,0.986,1.009852,0.249974
697,3,288,12,0.96,0.995714,0.707614,0.995714,0.292386,0.8273,0.985,1.010877,0.252538
697,3,287,13,0.956667,0.995714,0.708333,0.995714,0.291667,0.827791,0.984,1.011905,0.265476
697,3,286,14,0.953333,0.995714,0.709054,0.995714,0.290946,0.828283,0.983,1.012934,0.26625
697,3,285,15,0.95,0.995714,0.709776,0.995714,0.290224,0.828775,0.982,1.013966,0.267868
697,3,284,16,0.946667,0.995714,0.710499,0.995714,0.289501,0.829268,0.981,1.014999,0.269781
696,4,284,16,0.946667,0.994286,0.710204,0.994286,0.289796,0.828571,0.98,1.014577,0.274722
696,4,283,17,0.943333,0.994286,0.71093,0.994286,0.28907,0.829065,0.979,1.015614,0.281875
696,4,282,18,0.94,0.994286,0.711656,0.994286,0.288344,0.829559,0.978,1.016652,0.28449
696,4,281,19,0.936667,0.994286,0.712385,0.994286,0.287615,0.830054,0.977,1.017693,0.285833
696,4,280,20,0.933333,0.994286,0.713115,0.994286,0.286885,0.830549,0.976,1.018735,0.28914
696,4,279,21,0.93,0.994286,0.713846,0.994286,0.286154,0.831045,0.975,1.01978,0.29242
696,4,278,22,0.926667,0.994286,0.714579,0.994286,0.285421,0.831541,0.974,1.020827,0.293822
696,4,277,23,0.923333,0.994286,0.715313,0.994286,0.284687,0.832038,0.973,1.021876,0.295329
696,4,276,24,0.92,0.994286,0.716049,0.994286,0.283951,0.832536,0.972,1.022928,0.29625
696,4,275,25,0.916667,0.994286,0.716787,0.994286,0.283213,0.833034,0.971,1.023981,0.301576
696,4,274,26,0.913333,0.994286,0.717526,0.994286,0.282474,0.833533,0.97,1.025037,0.306846
696,4,273,27,0.91,0.994286,0.718266,0.994286,0.281734,0.834032,0.969,1.026095,0.307665
696,4,272,28,0.906667,0.994286,0.719008,0.994286,0.280992,0.834532,0.968,1.027155,0.309361
696,4,271,29,0.903333,0.994286,0.719752,0.994286,0.280248,0.835033,0.967,1.028217,0.310268
695,5,271,29,0.903333,0.992857,0.719462,0.992857,0.280538,0.834334,0.966,1.027802,0.316811
695,5,270,30,0.9,0.992857,0.720207,0.992857,0.279793,0.834835,0.965,1.028868,0.31752
695,5,269,31,0.896667,0.992857,0.720954,0.992857,0.279046,0.835337,0.964,1.029935,0.320674
695,5,268,32,0.893333,0.992857,0.721703,0.992857,0.278297,0.835839,0.963,1.031004,0.320774
695,5,267,33,0.89,0.992857,0.722453,0.992857,0.277547,0.836342,0.962,1.032076,0.322
695,5,266,34,0.886667,0.992857,0.723205,0.992857,0.276795,0.836845,0.961,1.03315,0.325968
695,5,265,35,0.883333,0.992857,0.723958,0.992857,0.276042,0.837349,0.96,1.034226,0.330823
694,6,265,35,0.883333,0.991429,0.72367,0.991429,0.27633,0.836649,0.959,1.033815,0.333655
694,6,264,36,0.88,0.991429,0.724426,0.991429,0.275574,0.837153,0.958,1.034894,0.337845
693,7,264,36,0.88,0.99,0.724138,0.99,0.275862,0.836451,0.957,1.034483,0.341111
693,7,263,37,0.876667,0.99,0.724895,0.99,0.275105,0.836957,0.956,1.035565,0.341301
692,8,263,37,0.876667,0.988571,0.724607,0.988571,0.275393,0.836254,0.955,1.035153,0.345684
692,8,262,38,0.873333,0.988571,0.725367,0.988571,0.274633,0.836759,0.954,1.036238,0.347353
692,8,261,39,0.87,0.988571,0.726128,0.988571,0.273872,0.837266,0.953,1.037326,0.34761
691,9,261,39,0.87,0.987143,0.72584,0.987143,0.27416,0.836562,0.952,1.036915,0.350685
691,9,260,40,0.866667,0.987143,0.726604,0.987143,0.273396,0.837068,0.951,1.038005,0.351667
691,9,259,41,0.863333,0.987143,0.727368,0.987143,0.272632,0.837576,0.95,1.039098,0.355416
691,9,258,42,0.86,0.987143,0.728135,0.987143,0.271865,0.838084,0.949,1.040193,0.355977
690,10,258,42,0.86,0.985714,0.727848,0.985714,0.272152,0.837379,0.948,1.039783,0.356022
690,10,257,43,0.856667,0.985714,0.728617,0.985714,0.271383,0.837887,0.947,1.040881,0.356329
690,10,256,44,0.853333,0.985714,0.729387,0.985714,0.270613,0.838396,0.946,1.041981,0.356777
689,11,256,44,0.853333,0.984286,0.729101,0.984286,0.270899,0.83769,0.945,1.041572,0.357517
689,11,255,45,0.85,0.984286,0.729873,0.984286,0.270127,0.8382,0.944,1.042676,0.35872
688,12,255,45,0.85,0.982857,0.729586,0.982857,0.270414,0.837492,0.943,1.042266,0.360127
688,12,254,46,0.846667,0.982857,0.730361,0.982857,0.269639,0.838002,0.942,1.043373,0.362967
