'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
500,0,268,0,1,1,0.651042,1,0.348958,0.788644,1,1,0
485,15,256,12,0.955224,0.97,0.654521,0.97,0.345479,0.781628,0.964844,1.005344,0.047619
484,16,254,14,0.947761,0.968,0.655827,0.968,0.344173,0.781906,0.960938,1.00735,0.055556
481,19,252,16,0.940299,0.962,0.656207,0.962,0.343793,0.780211,0.954427,1.007935,0.071429
481,19,251,17,0.936567,0.962,0.657104,0.962,0.342896,0.780844,0.953125,1.009311,0.076923
480,20,247,21,0.921642,0.96,0.660248,0.96,0.339752,0.782396,0.946615,1.01414,0.083333
479,21,247,21,0.921642,0.958,0.65978,0.958,0.34022,0.781403,0.945313,1.013421,0.090909
479,21,245,23,0.914179,0.958,0.661602,0.958,0.338398,0.78268,0.942708,1.016221,0.111111
478,22,245,23,0.914179,0.956,0.661134,0.956,0.338866,0.781684,0.941406,1.015502,0.115385
477,23,243,25,0.906716,0.954,0.6625,0.954,0.3375,0.781967,0.9375,1.0176,0.121951
471,29,222,46,0.828358,0.942,0.679654,0.942,0.320346,0.789606,0.902344,1.043948,0.125
471,29,221,47,0.824627,0.942,0.680636,0.942,0.319364,0.790268,0.901042,1.045457,0.13253
469,31,211,57,0.787313,0.938,0.689706,0.938,0.310294,0.794915,0.885417,1.059388,0.133333
468,32,206,62,0.768657,0.936,0.694362,0.936,0.305638,0.797274,0.877604,1.06654,0.134831
466,34,197,71,0.735075,0.932,0.702866,0.932,0.297134,0.801376,0.863281,1.079602,0.142857
464,36,189,79,0.705224,0.928,0.710567,0.928,0.289433,0.804857,0.85026,1.09143,0.153846
461,39,183,85,0.682836,0.922,0.715839,0.922,0.284161,0.805944,0.838542,1.099528,0.166667
460,40,183,85,0.682836,0.92,0.715397,0.92,0.284603,0.804899,0.83724,1.098849,0.208333
457,43,180,88,0.671642,0.914,0.717425,0.914,0.282575,0.80387,0.829427,1.101965,0.227273
451,49,168,100,0.626866,0.902,0.728595,0.902,0.271405,0.806077,0.80599,1.119121,0.233333
449,51,168,100,0.626866,0.898,0.727715,0.898,0.272285,0.803939,0.803385,1.11777,0.25
447,53,168,100,0.626866,0.894,0.726829,0.894,0.273171,0.801794,0.800781,1.11641,0.258065
446,54,166,102,0.619403,0.892,0.728758,0.892,0.271242,0.802158,0.796875,1.119373,0.26875
439,61,157,111,0.585821,0.878,0.736577,0.878,0.263423,0.801095,0.776042,1.131383,0.277778
438,62,155,113,0.578358,0.876,0.738617,0.876,0.261383,0.801464,0.772135,1.134516,0.288462
436,64,149,119,0.55597,0.872,0.745299,0.872,0.254701,0.803687,0.761719,1.144779,0.298246
436,64,147,121,0.548507,0.872,0.747856,0.872,0.252144,0.805171,0.759115,1.148707,0.304348
434,66,147,121,0.548507,0.868,0.746988,0.868,0.253012,0.80296,0.75651,1.147373,0.304762
432,68,140,128,0.522388,0.864,0.755245,0.864,0.244755,0.80597,0.744792,1.160056,0.314815
432,68,136,132,0.507463,0.864,0.760563,0.864,0.239437,0.808989,0.739583,1.168225,0.323529
427,73,135,133,0.503731,0.854,0.759786,0.854,0.240214,0.804143,0.731771,1.167032,0.333333
427,73,133,135,0.496269,0.854,0.7625,0.854,0.2375,0.80566,0.729167,1.1712,0.338235
419,81,125,143,0.466418,0.838,0.770221,0.838,0.229779,0.802682,0.708333,1.183059,0.37234
416,84,120,148,0.447761,0.832,0.776119,0.832,0.223881,0.803089,0.697917,1.192119,0.403846
415,85,119,149,0.44403,0.83,0.777154,0.83,0.222846,0.802708,0.695313,1.193708,0.448276
408,92,113,155,0.421642,0.816,0.783109,0.816,0.216891,0.799216,0.678385,1.202856,0.457831
407,93,108,160,0.402985,0.814,0.790291,0.814,0.209709,0.80197,0.670573,1.213887,0.578947
401,99,106,162,0.395522,0.802,0.790927,0.802,0.209073,0.796425,0.660156,1.214864,0.580645
398,102,104,164,0.38806,0.796,0.792829,0.796,0.207171,0.794411,0.653646,1.217785,0.6
390,110,93,175,0.347015,0.78,0.807453,0.78,0.192547,0.793489,0.628906,1.240248,0.647059
385,115,91,177,0.339552,0.77,0.808824,0.77,0.191176,0.788934,0.619792,1.242353,0.657143
382,118,90,178,0.335821,0.764,0.809322,0.764,0.190678,0.786008,0.614583,1.243119,0.659574
378,122,87,181,0.324627,0.756,0.812903,0.756,0.187097,0.78342,0.605469,1.248619,0.666667
378,122,86,182,0.320896,0.756,0.814655,0.756,0.185345,0.784232,0.604167,1.25131,0.675676
377,123,85,183,0.317164,0.754,0.816017,0.754,0.183983,0.783784,0.601563,1.253403,0.680672
373,127,84,184,0.313433,0.746,0.816193,0.746,0.183807,0.779519,0.595052,1.253672,0.681818
371,129,83,185,0.309701,0.742,0.817181,0.742,0.182819,0.777778,0.591146,1.255189,0.685714
368,132,81,187,0.302239,0.736,0.819599,0.736,0.180401,0.775553,0.584635,1.258904,0.690476
368,132,77,191,0.287313,0.736,0.826966,0.736,0.173034,0.778836,0.579427,1.27022,0.73494
363,137,77,191,0.287313,0.726,0.825,0.726,0.175,0.77234,0.572917,1.2672,0.75
362,138,77,191,0.287313,0.724,0.824601,0.724,0.175399,0.771033,0.571615,1.266588,0.757576
360,140,75,193,0.279851,0.72,0.827586,0.72,0.172414,0.770053,0.566406,1.271172,0.794118
358,142,74,194,0.276119,0.716,0.828704,0.716,0.171296,0.76824,0.5625,1.272889,0.8
351,149,69,199,0.257463,0.702,0.835714,0.702,0.164286,0.763043,0.546875,1.283657,0.811321
349,151,69,199,0.257463,0.698,0.834928,0.698,0.165072,0.760349,0.544271,1.28245,0.8125
347,153,68,200,0.253731,0.694,0.836145,0.694,0.163855,0.75847,0.540365,1.284318,0.818182
346,154,67,201,0.25,0.692,0.837772,0.692,0.162228,0.757941,0.53776,1.286818,0.823529
343,157,65,203,0.242537,0.686,0.840686,0.686,0.159314,0.755507,0.53125,1.291294,0.82793
309,191,54,214,0.201493,0.618,0.85124,0.618,0.14876,0.716107,0.472656,1.307504,0.842105
306,194,54,214,0.201493,0.612,0.85,0.612,0.15,0.711628,0.46875,1.3056,0.85
306,194,53,215,0.197761,0.612,0.852368,0.612,0.147632,0.712456,0.467448,1.309237,0.855556
