'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
500,0,268,0,1,1,0.651042,1,0.348958,0.788644,1,1,0.000342
499,1,268,0,1,0.998,0.650587,0.998,0.349413,0.787687,0.998698,0.999301,0.000385
498,2,268,0,1,0.996,0.650131,0.996,0.349869,0.78673,0.997396,0.998601,0.0004
498,2,267,1,0.996269,0.996,0.65098,0.996,0.34902,0.787352,0.996094,0.999906,0.000637
497,3,267,1,0.996269,0.994,0.650524,0.994,0.349476,0.786392,0.994792,0.999204,0.000955
496,4,267,1,0.996269,0.992,0.650066,0.992,0.349934,0.785432,0.99349,0.998501,0.002728
495,5,267,1,0.996269,0.99,0.649606,0.99,0.350394,0.784469,0.992188,0.997795,0.002763
494,6,267,1,0.996269,0.988,0.649146,0.988,0.350854,0.783505,0.990885,0.997088,0.003872
494,6,266,2,0.992537,0.988,0.65,0.988,0.35,0.784127,0.989583,0.9984,0.004631
493,7,266,2,0.992537,0.986,0.649539,0.986,0.350461,0.783161,0.988281,0.997692,0.004848
492,8,266,2,0.992537,0.984,0.649077,0.984,0.350923,0.782194,0.986979,0.996982,0.004909
492,8,265,3,0.988806,0.984,0.649934,0.984,0.350066,0.782816,0.985677,0.998299,0.00539
491,9,265,3,0.988806,0.982,0.649471,0.982,0.350529,0.781847,0.984375,0.997587,0.005795
490,10,265,3,0.988806,0.98,0.649007,0.98,0.350993,0.780876,0.983073,0.996874,0.006593
490,10,264,4,0.985075,0.98,0.649867,0.98,0.350133,0.781499,0.981771,0.998196,0.007649
489,11,264,4,0.985075,0.978,0.649402,0.978,0.350598,0.780527,0.980469,0.997482,0.007743
489,11,263,5,0.981343,0.978,0.650266,0.978,0.349734,0.78115,0.979167,0.998809,0.007759
489,11,262,6,0.977612,0.978,0.651132,0.978,0.348868,0.781775,0.977865,1.000138,0.007877
488,12,262,6,0.977612,0.976,0.650667,0.976,0.349333,0.7808,0.976563,0.999424,0.008215
488,12,261,7,0.973881,0.976,0.651535,0.976,0.348465,0.781425,0.97526,1.000758,0.008471
488,12,260,8,0.970149,0.976,0.652406,0.976,0.347594,0.782051,0.973958,1.002096,0.009096
487,13,260,8,0.970149,0.974,0.651941,0.974,0.348059,0.781075,0.972656,1.001382,0.009096
487,13,259,9,0.966418,0.974,0.652815,0.974,0.347185,0.781701,0.971354,1.002724,0.00985
487,13,258,10,0.962687,0.974,0.653691,0.974,0.346309,0.782329,0.970052,1.00407,0.010791
486,14,258,10,0.962687,0.972,0.653226,0.972,0.346774,0.78135,0.96875,1.003355,0.012043
486,14,257,11,0.958955,0.972,0.654105,0.972,0.345895,0.781979,0.967448,1.004705,0.013329
485,15,257,11,0.958955,0.97,0.653639,0.97,0.346361,0.780998,0.966146,1.003989,0.014177
484,16,257,11,0.958955,0.968,0.653171,0.968,0.346829,0.780016,0.964844,1.003271,0.015054
484,16,256,12,0.955224,0.968,0.654054,0.968,0.345946,0.780645,0.963542,1.004627,0.016002
483,17,256,12,0.955224,0.966,0.653586,0.966,0.346414,0.779661,0.96224,1.003908,0.016981
482,18,256,12,0.955224,0.964,0.653117,0.964,0.346883,0.778675,0.960938,1.003187,0.019966
482,18,255,13,0.951493,0.964,0.654003,0.964,0.345997,0.779305,0.959635,1.004548,0.020752
482,18,254,14,0.947761,0.964,0.654891,0.964,0.345109,0.779935,0.958333,1.005913,0.02082
481,19,254,14,0.947761,0.962,0.654422,0.962,0.345578,0.778947,0.957031,1.005192,0.021143
481,19,253,15,0.94403,0.962,0.655313,0.962,0.344687,0.779579,0.955729,1.006561,0.021622
481,19,252,16,0.940299,0.962,0.656207,0.962,0.343793,0.780211,0.954427,1.007935,0.023376
480,20,252,16,0.940299,0.96,0.655738,0.96,0.344262,0.779221,0.953125,1.007213,0.024456
479,21,252,16,0.940299,0.958,0.655267,0.958,0.344733,0.778229,0.951823,1.00649,0.024735
479,21,251,17,0.936567,0.958,0.656164,0.958,0.343836,0.778862,0.950521,1.007868,0.024872
479,21,250,18,0.932836,0.958,0.657064,0.958,0.342936,0.779496,0.949219,1.009251,0.025085
479,21,249,19,0.929104,0.958,0.657967,0.958,0.342033,0.78013,0.947917,1.010637,0.02583
478,22,249,19,0.929104,0.956,0.657497,0.956,0.342503,0.779136,0.946615,1.009915,0.026252
478,22,248,20,0.925373,0.956,0.658402,0.956,0.341598,0.779772,0.945313,1.011306,0.028146
478,22,247,21,0.921642,0.956,0.65931,0.956,0.34069,0.780408,0.94401,1.012701,0.029229
477,23,247,21,0.921642,0.954,0.65884,0.954,0.34116,0.779412,0.942708,1.011978,0.02972
477,23,246,22,0.91791,0.954,0.659751,0.954,0.340249,0.780049,0.941406,1.013378,0.029791
477,23,245,23,0.914179,0.954,0.660665,0.954,0.339335,0.780687,0.940104,1.014781,0.030807
477,23,244,24,0.910448,0.954,0.661581,0.954,0.338419,0.781327,0.938802,1.016189,0.032402
477,23,243,25,0.906716,0.954,0.6625,0.954,0.3375,0.781967,0.9375,1.0176,0.033072
476,24,243,25,0.906716,0.952,0.662031,0.952,0.337969,0.780968,0.936198,1.016879,0.03372
475,25,243,25,0.906716,0.95,0.66156,0.95,0.33844,0.779967,0.934896,1.016156,0.034758
475,25,242,26,0.902985,0.95,0.662483,0.95,0.337517,0.780608,0.933594,1.017573,0.035571
475,25,241,27,0.899254,0.95,0.663408,0.95,0.336592,0.78125,0.932292,1.018994,0.036325
475,25,240,28,0.895522,0.95,0.664336,0.95,0.335664,0.781893,0.93099,1.02042,0.036902
474,26,240,28,0.895522,0.948,0.663866,0.948,0.336134,0.78089,0.929688,1.019697,0.038393
473,27,240,28,0.895522,0.946,0.663394,0.946,0.336606,0.779885,0.928385,1.018973,0.038612
472,28,240,28,0.895522,0.944,0.662921,0.944,0.337079,0.778878,0.927083,1.018247,0.040334
472,28,239,29,0.891791,0.944,0.663854,0.944,0.336146,0.779521,0.925781,1.019679,0.043092
472,28,238,30,0.88806,0.944,0.664789,0.944,0.335211,0.780165,0.924479,1.021115,0.043688
472,28,237,31,0.884328,0.944,0.665726,0.944,0.334274,0.780811,0.923177,1.022556,0.045503
471,29,237,31,0.884328,0.942,0.665254,0.942,0.334746,0.779801,0.921875,1.021831,0.047932
471,29,236,32,0.880597,0.942,0.666195,0.942,0.333805,0.780447,0.920573,1.023276,0.048073
471,29,235,33,0.876866,0.942,0.667139,0.942,0.332861,0.781095,0.919271,1.024725,0.048646
471,29,234,34,0.873134,0.942,0.668085,0.942,0.331915,0.781743,0.917969,1.026179,0.050942
