'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
500,0,268,0,1,1,0.651042,1,0.348958,0.788644,1,1,0.04
499,1,266,2,0.992537,0.998,0.652288,0.998,0.347712,0.788933,0.996094,1.001914,0.05
498,2,266,2,0.992537,0.996,0.651832,0.996,0.348168,0.787975,0.994792,1.001215,0.06
498,2,263,5,0.981343,0.996,0.654402,0.996,0.345598,0.789849,0.990885,1.005162,0.07
497,3,260,8,0.970149,0.994,0.656539,0.994,0.343461,0.790772,0.985677,1.008444,0.08
496,4,258,10,0.962687,0.992,0.657825,0.992,0.342175,0.791069,0.981771,1.010419,0.09
495,5,253,15,0.94403,0.99,0.661765,0.99,0.338235,0.793269,0.973958,1.016471,0.1
495,5,251,17,0.936567,0.99,0.663539,0.99,0.336461,0.794543,0.971354,1.019196,0.11
495,5,248,20,0.925373,0.99,0.666218,0.99,0.333782,0.79646,0.967448,1.023311,0.12
495,5,245,23,0.914179,0.99,0.668919,0.99,0.331081,0.798387,0.963542,1.027459,0.13
495,5,243,25,0.906716,0.99,0.670732,0.99,0.329268,0.799677,0.960938,1.030244,0.14
493,7,241,27,0.899254,0.986,0.671662,0.986,0.328338,0.799028,0.955729,1.031673,0.15
491,9,238,30,0.88806,0.982,0.673525,0.982,0.326475,0.799024,0.949219,1.034535,0.16
490,10,232,36,0.865672,0.98,0.67867,0.98,0.32133,0.801964,0.940104,1.042438,0.17
489,11,225,43,0.839552,0.978,0.684874,0.978,0.315126,0.805601,0.929688,1.051966,0.18
489,11,223,45,0.83209,0.978,0.686798,0.978,0.313202,0.806931,0.927083,1.054921,0.19
488,12,222,46,0.828358,0.976,0.687324,0.976,0.312676,0.806612,0.924479,1.05573,0.2
487,13,220,48,0.820896,0.974,0.688826,0.974,0.311174,0.806959,0.920573,1.058037,0.21
485,15,215,53,0.802239,0.97,0.692857,0.97,0.307143,0.808333,0.911458,1.064229,0.22
484,16,210,58,0.783582,0.968,0.697406,0.968,0.302594,0.81072,0.903646,1.071216,0.23
482,18,205,63,0.764925,0.964,0.701601,0.964,0.298399,0.812131,0.894531,1.077659,0.24
479,21,198,70,0.738806,0.958,0.707533,0.958,0.292467,0.813934,0.88151,1.086771,0.25
478,22,194,74,0.723881,0.956,0.71131,0.956,0.28869,0.8157,0.875,1.092571,0.26
477,23,191,77,0.712687,0.954,0.714072,0.954,0.285928,0.816781,0.869792,1.096814,0.27
476,24,189,79,0.705224,0.952,0.715789,0.952,0.284211,0.817167,0.865885,1.099453,0.28
