'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0
32,0,122,1,0.99187,1,0.207792,1,0.792208,0.344086,0.993548,1.006494,0.000001
32,0,121,2,0.98374,1,0.20915,1,0.79085,0.345946,0.987097,1.013072,0.000001
32,0,120,3,0.97561,1,0.210526,1,0.789474,0.347826,0.980645,1.019737,0.000002
32,0,119,4,0.96748,1,0.211921,1,0.788079,0.349727,0.974194,1.02649,0.000003
32,0,118,5,0.95935,1,0.213333,1,0.786667,0.351648,0.967742,1.033333,0.000003
32,0,117,6,0.95122,1,0.214765,1,0.785235,0.353591,0.96129,1.040268,0.000003
32,0,116,7,0.943089,1,0.216216,1,0.783784,0.355556,0.954839,1.047297,0.000004
32,0,115,8,0.934959,1,0.217687,1,0.782313,0.357542,0.948387,1.054422,0.000004
32,0,114,9,0.926829,1,0.219178,1,0.780822,0.359551,0.941935,1.061644,0.000005
32,0,113,10,0.918699,1,0.22069,1,0.77931,0.361582,0.935484,1.068966,0.000005
32,0,112,11,0.910569,1,0.222222,1,0.777778,0.363636,0.929032,1.076389,0.000005
32,0,111,12,0.902439,1,0.223776,1,0.776224,0.365714,0.922581,1.083916,0.000006
32,0,110,13,0.894309,1,0.225352,1,0.774648,0.367816,0.916129,1.091549,0.000007
31,1,110,13,0.894309,0.96875,0.219858,0.96875,0.780142,0.358382,0.909677,1.064938,0.00001
31,1,109,14,0.886179,0.96875,0.221429,0.96875,0.778571,0.360465,0.903226,1.072545,0.000011
31,1,108,15,0.878049,0.96875,0.223022,0.96875,0.776978,0.362573,0.896774,1.080261,0.000013
31,1,107,16,0.869919,0.96875,0.224638,0.96875,0.775362,0.364706,0.890323,1.088089,0.000013
31,1,106,17,0.861789,0.96875,0.226277,0.96875,0.773723,0.366864,0.883871,1.096031,0.000021
31,1,105,18,0.853659,0.96875,0.227941,0.96875,0.772059,0.369048,0.877419,1.10409,0.000024
31,1,104,19,0.845528,0.96875,0.22963,0.96875,0.77037,0.371257,0.870968,1.112269,0.000025
31,1,103,20,0.837398,0.96875,0.231343,0.96875,0.768657,0.373494,0.864516,1.120569,0.000026
31,1,102,21,0.829268,0.96875,0.233083,0.96875,0.766917,0.375758,0.858065,1.128994,0.00003
31,1,101,22,0.821138,0.96875,0.234848,0.96875,0.765152,0.378049,0.851613,1.137547,0.000031
31,1,100,23,0.813008,0.96875,0.236641,0.96875,0.763359,0.380368,0.845161,1.146231,0.000032
31,1,99,24,0.804878,0.96875,0.238462,0.96875,0.761538,0.382716,0.83871,1.155048,0.000039
31,1,98,25,0.796748,0.96875,0.24031,0.96875,0.75969,0.385093,0.832258,1.164002,0.000041
31,1,97,26,0.788618,0.96875,0.242188,0.96875,0.757813,0.3875,0.825806,1.173096,0.000041
31,1,96,27,0.780488,0.96875,0.244094,0.96875,0.755906,0.389937,0.819355,1.182333,0.000043
31,1,95,28,0.772358,0.96875,0.246032,0.96875,0.753968,0.392405,0.812903,1.191716,0.000045
31,1,94,29,0.764228,0.96875,0.248,0.96875,0.752,0.394904,0.806452,1.20125,0.000049
31,1,93,30,0.756098,0.96875,0.25,0.96875,0.75,0.397436,0.8,1.210938,0.000053
31,1,92,31,0.747967,0.96875,0.252033,0.96875,0.747967,0.4,0.793548,1.220783,0.000054
31,1,91,32,0.739837,0.96875,0.254098,0.96875,0.745902,0.402597,0.787097,1.230789,0.000057
31,1,90,33,0.731707,0.96875,0.256198,0.96875,0.743802,0.405229,0.780645,1.240961,0.000058
31,1,89,34,0.723577,0.96875,0.258333,0.96875,0.741667,0.407895,0.774194,1.251302,0.000062
30,2,89,34,0.723577,0.9375,0.252101,0.9375,0.747899,0.397351,0.767742,1.221113,0.000073
30,2,88,35,0.715447,0.9375,0.254237,0.9375,0.745763,0.4,0.76129,1.231462,0.000084
30,2,87,36,0.707317,0.9375,0.25641,0.9375,0.74359,0.402685,0.754839,1.241987,0.000087
30,2,86,37,0.699187,0.9375,0.258621,0.9375,0.741379,0.405405,0.748387,1.252694,0.000088
30,2,85,38,0.691057,0.9375,0.26087,0.9375,0.73913,0.408163,0.741935,1.263587,0.000091
30,2,84,39,0.682927,0.9375,0.263158,0.9375,0.736842,0.410959,0.735484,1.274671,0.000103
30,2,83,40,0.674797,0.9375,0.265487,0.9375,0.734513,0.413793,0.729032,1.285951,0.000104
30,2,82,41,0.666667,0.9375,0.267857,0.9375,0.732143,0.416667,0.722581,1.297433,0.000126
30,2,81,42,0.658537,0.9375,0.27027,0.9375,0.72973,0.41958,0.716129,1.309122,0.000148
30,2,80,43,0.650407,0.9375,0.272727,0.9375,0.727273,0.422535,0.709677,1.321023,0.00015
30,2,79,44,0.642276,0.9375,0.275229,0.9375,0.724771,0.425532,0.703226,1.333142,0.000177
30,2,78,45,0.634146,0.9375,0.277778,0.9375,0.722222,0.428571,0.696774,1.345486,0.000242
30,2,77,46,0.626016,0.9375,0.280374,0.9375,0.719626,0.431655,0.690323,1.358061,0.000245
30,2,76,47,0.617886,0.9375,0.283019,0.9375,0.716981,0.434783,0.683871,1.370873,0.000248
30,2,75,48,0.609756,0.9375,0.285714,0.9375,0.714286,0.437956,0.677419,1.383929,0.000267
30,2,74,49,0.601626,0.9375,0.288462,0.9375,0.711538,0.441176,0.670968,1.397236,0.000277
30,2,73,50,0.593496,0.9375,0.291262,0.9375,0.708738,0.444444,0.664516,1.410801,0.000286
30,2,72,51,0.585366,0.9375,0.294118,0.9375,0.705882,0.447761,0.658065,1.424632,0.000367
30,2,71,52,0.577236,0.9375,0.29703,0.9375,0.70297,0.451128,0.651613,1.438738,0.000391
30,2,70,53,0.569106,0.9375,0.3,0.9375,0.7,0.454545,0.645161,1.453125,0.000514
30,2,69,54,0.560976,0.9375,0.30303,0.9375,0.69697,0.458015,0.63871,1.467803,0.000556
30,2,68,55,0.552846,0.9375,0.306122,0.9375,0.693878,0.461538,0.632258,1.482781,0.000665
30,2,67,56,0.544715,0.9375,0.309278,0.9375,0.690722,0.465116,0.625806,1.498067,0.000725
29,3,67,56,0.544715,0.90625,0.302083,0.90625,0.697917,0.453125,0.619355,1.463216,0.000735
29,3,66,57,0.536585,0.90625,0.305263,0.90625,0.694737,0.456693,0.612903,1.478618,0.000807
29,3,65,58,0.528455,0.90625,0.308511,0.90625,0.691489,0.460317,0.606452,1.494348,0.000821
29,3,64,59,0.520325,0.90625,0.311828,0.90625,0.688172,0.464,0.6,1.510417,0.000932
29,3,63,60,0.512195,0.90625,0.315217,0.90625,0.684783,0.467742,0.593548,1.526834,0.000936
29,3,62,61,0.504065,0.90625,0.318681,0.90625,0.681319,0.471545,0.587097,1.543613,0.001025
29,3,61,62,0.495935,0.90625,0.322222,0.90625,0.677778,0.47541,0.580645,1.560764,0.001029
29,3,60,63,0.487805,0.90625,0.325843,0.90625,0.674157,0.479339,0.574194,1.578301,0.001053
28,4,60,63,0.487805,0.875,0.318182,0.875,0.681818,0.466667,0.567742,1.541193,0.001303
28,4,59,64,0.479675,0.875,0.321839,0.875,0.678161,0.470588,0.56129,1.558908,0.00148
28,4,58,65,0.471545,0.875,0.325581,0.875,0.674419,0.474576,0.554839,1.577035,0.001998
28,4,57,66,0.463415,0.875,0.329412,0.875,0.670588,0.478632,0.548387,1.595588,0.002014
28,4,56,67,0.455285,0.875,0.333333,0.875,0.666667,0.482759,0.541935,1.614583,0.002074
28,4,55,68,0.447154,0.875,0.337349,0.875,0.662651,0.486957,0.535484,1.634036,0.002128
28,4,54,69,0.439024,0.875,0.341463,0.875,0.658537,0.491228,0.529032,1.653963,0.002205
28,4,53,70,0.430894,0.875,0.345679,0.875,0.654321,0.495575,0.522581,1.674383,0.002593
28,4,52,71,0.422764,0.875,0.35,0.875,0.65,0.5,0.516129,1.695313,0.002703
28,4,51,72,0.414634,0.875,0.35443,0.875,0.64557,0.504505,0.509677,1.716772,0.003021
28,4,50,73,0.406504,0.875,0.358974,0.875,0.641026,0.509091,0.503226,1.738782,0.003608
28,4,49,74,0.398374,0.875,0.363636,0.875,0.636364,0.513761,0.496774,1.761364,0.003856
