'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
32,0,123,0,1,1,0.206452,1,0.793548,0.342246,1,1,0
32,0,104,19,0.845528,1,0.235294,1,0.764706,0.380952,0.877419,1.139706,0.01
32,0,92,31,0.747967,1,0.258065,1,0.741935,0.410256,0.8,1.25,0.02
31,1,86,37,0.699187,0.96875,0.264957,0.96875,0.735043,0.416107,0.754839,1.283387,0.03
31,1,77,46,0.626016,0.96875,0.287037,0.96875,0.712963,0.442857,0.696774,1.390336,0.04
30,2,69,54,0.560976,0.9375,0.30303,0.9375,0.69697,0.458015,0.63871,1.467803,0.05
30,2,65,58,0.528455,0.9375,0.315789,0.9375,0.684211,0.472441,0.612903,1.529605,0.07
30,2,63,60,0.512195,0.9375,0.322581,0.9375,0.677419,0.48,0.6,1.5625,0.08
29,3,58,65,0.471545,0.90625,0.333333,0.90625,0.666667,0.487395,0.56129,1.614583,0.09
29,3,55,68,0.447154,0.90625,0.345238,0.90625,0.654762,0.5,0.541935,1.672247,0.1
29,3,53,70,0.430894,0.90625,0.353659,0.90625,0.646341,0.508772,0.529032,1.713034,0.11
29,3,47,76,0.382114,0.90625,0.381579,0.90625,0.618421,0.537037,0.490323,1.848273,0.12
28,4,46,77,0.373984,0.875,0.378378,0.875,0.621622,0.528302,0.477419,1.83277,0.13
28,4,45,78,0.365854,0.875,0.383562,0.875,0.616438,0.533333,0.470968,1.857877,0.14
28,4,41,82,0.333333,0.875,0.405797,0.875,0.594203,0.554455,0.445161,1.96558,0.15
28,4,38,85,0.308943,0.875,0.424242,0.875,0.575758,0.571429,0.425806,2.054924,0.16
28,4,37,86,0.300813,0.875,0.430769,0.875,0.569231,0.57732,0.419355,2.086538,0.17
28,4,33,90,0.268293,0.875,0.459016,0.875,0.540984,0.602151,0.393548,2.223361,0.18
28,4,31,92,0.252033,0.875,0.474576,0.875,0.525424,0.615385,0.380645,2.298729,0.19
28,4,30,93,0.243902,0.875,0.482759,0.875,0.517241,0.622222,0.374194,2.338362,0.2
28,4,29,94,0.235772,0.875,0.491228,0.875,0.508772,0.629213,0.367742,2.379386,0.21
28,4,28,95,0.227642,0.875,0.5,0.875,0.5,0.636364,0.36129,2.421875,0.22
27,5,26,97,0.211382,0.84375,0.509434,0.84375,0.490566,0.635294,0.341935,2.467571,0.23
27,5,24,99,0.195122,0.84375,0.529412,0.84375,0.470588,0.650602,0.329032,2.564338,0.25
26,6,23,100,0.186992,0.8125,0.530612,0.8125,0.469388,0.641975,0.316129,2.570153,0.28
25,7,23,100,0.186992,0.78125,0.520833,0.78125,0.479167,0.625,0.309677,2.522786,0.29
25,7,22,101,0.178862,0.78125,0.531915,0.78125,0.468085,0.632911,0.303226,2.576463,0.3
25,7,20,103,0.162602,0.78125,0.555556,0.78125,0.444444,0.649351,0.290323,2.690972,0.31
25,7,19,104,0.154472,0.78125,0.568182,0.78125,0.431818,0.657895,0.283871,2.752131,0.32
24,8,18,105,0.146341,0.75,0.571429,0.75,0.428571,0.648649,0.270968,2.767857,0.36
24,8,17,106,0.138211,0.75,0.585366,0.75,0.414634,0.657534,0.264516,2.835366,0.38
24,8,15,108,0.121951,0.75,0.615385,0.75,0.384615,0.676056,0.251613,2.980769,0.39
22,10,15,108,0.121951,0.6875,0.594595,0.6875,0.405405,0.637681,0.23871,2.880068,0.4
21,11,13,110,0.105691,0.65625,0.617647,0.65625,0.382353,0.636364,0.219355,2.991728,0.41
21,11,12,111,0.097561,0.65625,0.636364,0.65625,0.363636,0.646154,0.212903,3.082386,0.42
19,13,11,112,0.089431,0.59375,0.633333,0.59375,0.366667,0.612903,0.193548,3.067708,0.43
18,14,11,112,0.089431,0.5625,0.62069,0.5625,0.37931,0.590164,0.187097,3.006466,0.47
18,14,10,113,0.081301,0.5625,0.642857,0.5625,0.357143,0.6,0.180645,3.113839,0.49
18,14,9,114,0.073171,0.5625,0.666667,0.5625,0.333333,0.610169,0.174194,3.229167,0.5
17,15,9,114,0.073171,0.53125,0.653846,0.53125,0.346154,0.586207,0.167742,3.167067,0.52
15,17,9,114,0.073171,0.46875,0.625,0.46875,0.375,0.535714,0.154839,3.027344,0.53
15,17,7,116,0.056911,0.46875,0.681818,0.46875,0.318182,0.555556,0.141935,3.302557,0.54
14,18,6,117,0.04878,0.4375,0.7,0.4375,0.3,0.538462,0.129032,3.390625,0.55
13,19,6,117,0.04878,0.40625,0.684211,0.40625,0.315789,0.509804,0.122581,3.314145,0.56
12,20,5,118,0.04065,0.375,0.705882,0.375,0.294118,0.489796,0.109677,3.419118,0.57
12,20,4,119,0.03252,0.375,0.75,0.375,0.25,0.5,0.103226,3.632813,0.58
12,20,3,120,0.02439,0.375,0.8,0.375,0.2,0.510638,0.096774,3.875,0.59
11,21,3,120,0.02439,0.34375,0.785714,0.34375,0.214286,0.478261,0.090323,3.805804,0.64
8,24,3,120,0.02439,0.25,0.727273,0.25,0.272727,0.372093,0.070968,3.522727,0.65
8,24,2,121,0.01626,0.25,0.8,0.25,0.2,0.380952,0.064516,3.875,0.66
8,24,1,122,0.00813,0.25,0.888889,0.25,0.111111,0.390244,0.058065,4.305556,0.67
7,25,0,123,0,0.21875,1,0.21875,0,0.358974,0.045161,4.84375,0.7
5,27,0,123,0,0.15625,1,0.15625,0,0.27027,0.032258,4.84375,0.76
3,29,0,123,0,0.09375,1,0.09375,0,0.171429,0.019355,?,0.78
2,30,0,123,0,0.0625,1,0.0625,0,0.117647,0.012903,?,0.82
1,31,0,123,0,0.03125,1,0.03125,0,0.060606,0.006452,?,0.88
0,32,0,123,0,0,?,0,?,?,0,?,0.88001
