'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
5108,0,10437,0,1,1,0.328594,1,0.671406,0.49465,1,1,0
5074,34,10180,257,0.975376,0.993344,0.332634,0.993344,0.667366,0.498379,0.98128,1.012294,0.005758
5074,34,10121,316,0.969723,0.993344,0.333926,0.993344,0.666074,0.499828,0.977485,1.016224,0.006173
5074,34,10095,342,0.967232,0.993344,0.334498,0.993344,0.665502,0.500469,0.975812,1.017966,0.006522
5073,35,10051,386,0.963016,0.993148,0.335427,0.993148,0.664573,0.501483,0.972917,1.020794,0.008386
5073,35,9955,482,0.953818,0.993148,0.33757,0.993148,0.66243,0.503874,0.966742,1.027315,0.008621
5073,35,9895,542,0.948069,0.993148,0.338923,0.993148,0.661077,0.50538,0.962882,1.031433,0.008869
5073,35,9845,592,0.943279,0.993148,0.340059,0.993148,0.659941,0.506641,0.959665,1.03489,0.009434
5072,36,9835,602,0.942321,0.992952,0.340243,0.992952,0.659757,0.50682,0.958958,1.035449,0.009524
5072,36,9827,610,0.941554,0.992952,0.340426,0.992952,0.659574,0.507023,0.958443,1.036005,0.009709
5072,36,9819,618,0.940788,0.992952,0.340608,0.992952,0.659392,0.507225,0.957929,1.036562,0.009804
5072,36,9809,628,0.939829,0.992952,0.340837,0.992952,0.659163,0.507479,0.957285,1.037258,0.009901
5072,36,9777,660,0.936763,0.992952,0.341572,0.992952,0.658428,0.508293,0.955227,1.039494,0.010101
5072,36,9764,673,0.935518,0.992952,0.341871,0.992952,0.658129,0.508624,0.95439,1.040405,0.010169
5072,36,9736,701,0.932835,0.992952,0.342518,0.992952,0.657482,0.509339,0.952589,1.042372,0.010417
5072,36,9719,718,0.931206,0.992952,0.342911,0.992952,0.657089,0.509774,0.951496,1.04357,0.011561
5072,36,9680,757,0.92747,0.992952,0.343818,0.992952,0.656182,0.510775,0.948987,1.046329,0.012346
5072,36,9665,772,0.926032,0.992952,0.344168,0.992952,0.655832,0.511162,0.948022,1.047394,0.012736
5067,41,9402,1035,0.900834,0.991973,0.350197,0.991973,0.649803,0.517648,0.930782,1.065742,0.014184
5064,44,9356,1081,0.896426,0.991386,0.351179,0.991386,0.648821,0.51864,0.927629,1.068731,0.014599
5062,46,9314,1123,0.892402,0.990995,0.352115,0.990995,0.647885,0.519606,0.924799,1.071578,0.01476
5062,46,9263,1174,0.887516,0.990995,0.353368,0.990995,0.646632,0.520969,0.921518,1.075393,0.015152
5062,46,9258,1179,0.887037,0.990995,0.353492,0.990995,0.646508,0.521104,0.921197,1.075769,0.015625
5062,46,9253,1184,0.886557,0.990995,0.353615,0.990995,0.646385,0.521238,0.920875,1.076145,0.015873
5060,48,9237,1200,0.885024,0.990603,0.35392,0.990603,0.64608,0.521515,0.919717,1.077074,0.016129
5059,49,9194,1243,0.880904,0.990407,0.354943,0.990407,0.645057,0.522597,0.916886,1.080185,0.016275
5057,51,9136,1301,0.875347,0.990016,0.356302,0.990016,0.643698,0.524014,0.913027,1.084323,0.016393
5057,51,9128,1309,0.874581,0.990016,0.356503,0.990016,0.643497,0.524232,0.912512,1.084934,0.016423
5055,53,9065,1372,0.868545,0.989624,0.358003,0.989624,0.641997,0.525796,0.908331,1.089498,0.016949
5055,53,9056,1381,0.867682,0.989624,0.358231,0.989624,0.641769,0.526042,0.907752,1.090193,0.017078
5053,55,8992,1445,0.86155,0.989233,0.359772,0.989233,0.640228,0.527646,0.903506,1.094882,0.017241
5053,55,8979,1458,0.860305,0.989233,0.360105,0.989233,0.639895,0.528004,0.90267,1.095897,0.017857
5053,55,8967,1470,0.859155,0.989233,0.360414,0.989233,0.639586,0.528335,0.901898,1.096835,0.018473
5039,69,8561,1876,0.820255,0.986492,0.370515,0.986492,0.629485,0.5387,0.874879,1.127575,0.018765
5029,79,8179,2258,0.783654,0.984534,0.380754,0.984534,0.619246,0.549137,0.849662,1.158736,0.019283
5021,87,7800,2637,0.747341,0.982968,0.391623,0.982968,0.608377,0.560098,0.824767,1.191813,0.019716
5008,100,7364,3073,0.705567,0.980423,0.404785,0.980423,0.595215,0.572998,0.795883,1.231868,0.020287
5004,104,6996,3441,0.670308,0.97964,0.417,0.97964,0.583,0.584989,0.771952,1.269042,0.021186
5004,104,6967,3470,0.667529,0.97964,0.41801,0.97964,0.58199,0.585983,0.770087,1.272116,0.021212
5002,106,6931,3506,0.66408,0.979248,0.419174,0.979248,0.580826,0.587055,0.767642,1.275657,0.021243
4995,113,6498,3939,0.622593,0.977878,0.434612,0.977878,0.565388,0.601771,0.739337,1.322641,0.021472
4993,115,6458,3979,0.61876,0.977486,0.436032,0.977486,0.563968,0.603056,0.736636,1.32696,0.022222
4992,116,6455,3982,0.618473,0.977291,0.436097,0.977291,0.563903,0.603081,0.736378,1.327158,0.02225
4980,128,6029,4408,0.577656,0.974941,0.452357,0.974941,0.547643,0.617981,0.708202,1.376643,0.022469
4961,147,5568,4869,0.533487,0.971222,0.471175,0.971222,0.528825,0.634521,0.677324,1.43391,0.022923
4958,150,5537,4900,0.530516,0.970634,0.472415,0.970634,0.527585,0.635519,0.675137,1.437686,0.02381
4957,151,5506,4931,0.527546,0.970439,0.473765,0.970439,0.526235,0.636696,0.673078,1.441792,0.023881
4954,154,5423,5014,0.519594,0.969851,0.477402,0.969851,0.522598,0.639845,0.667546,1.452861,0.024096
4953,155,5412,5025,0.51854,0.969655,0.477858,0.969655,0.522142,0.640212,0.666774,1.454249,0.024845
4952,156,5367,5070,0.514228,0.96946,0.479891,0.96946,0.520109,0.641991,0.663815,1.460437,0.025
4950,158,5293,5144,0.507138,0.969068,0.483257,0.969068,0.516743,0.644909,0.658926,1.470679,0.026217
4950,158,5266,5171,0.504551,0.969068,0.484534,0.969068,0.515466,0.646045,0.657189,1.474566,0.027397
4950,158,5265,5172,0.504455,0.969068,0.484581,0.969068,0.515419,0.646088,0.657124,1.47471,0.028037
4949,159,5253,5184,0.503306,0.968872,0.485101,0.968872,0.514899,0.646506,0.656288,1.476291,0.028571
4949,159,5251,5186,0.503114,0.968872,0.485196,0.968872,0.514804,0.64659,0.65616,1.47658,0.029412
4949,159,5242,5195,0.502252,0.968872,0.485625,0.968872,0.514375,0.64697,0.655581,1.477884,0.029851
4949,159,5235,5202,0.501581,0.968872,0.485958,0.968872,0.514042,0.647267,0.65513,1.4789,0.03
