'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
5108,0,10437,0,1,1,0.328594,1,0.671406,0.49465,1,1,0
5059,49,8452,1985,0.809811,0.990407,0.374436,0.990407,0.625564,0.543423,0.869154,1.139507,0
5059,49,8451,1986,0.809715,0.990407,0.374463,0.990407,0.625537,0.543453,0.86909,1.139591,0
5059,49,8450,1987,0.80962,0.990407,0.374491,0.990407,0.625509,0.543482,0.869025,1.139676,0
5059,49,8449,1988,0.809524,0.990407,0.374519,0.990407,0.625481,0.543511,0.868961,1.13976,0
5059,49,8448,1989,0.809428,0.990407,0.374547,0.990407,0.625453,0.54354,0.868897,1.139845,0
5059,49,8447,1990,0.809332,0.990407,0.374574,0.990407,0.625426,0.543569,0.868832,1.139929,0
5059,49,8446,1991,0.809236,0.990407,0.374602,0.990407,0.625398,0.543599,0.868768,1.140013,0
5059,49,8445,1992,0.809141,0.990407,0.37463,0.990407,0.62537,0.543628,0.868704,1.140098,0
5059,49,8444,1993,0.809045,0.990407,0.374657,0.990407,0.625343,0.543657,0.868639,1.140182,0
5059,49,8443,1994,0.808949,0.990407,0.374685,0.990407,0.625315,0.543686,0.868575,1.140267,0
5059,49,8442,1995,0.808853,0.990407,0.374713,0.990407,0.625287,0.543715,0.868511,1.140351,0
5059,49,8441,1996,0.808757,0.990407,0.374741,0.990407,0.625259,0.543745,0.868446,1.140436,0
5059,49,8440,1997,0.808661,0.990407,0.374769,0.990407,0.625231,0.543774,0.868382,1.14052,0
5059,49,8439,1998,0.808566,0.990407,0.374796,0.990407,0.625204,0.543803,0.868318,1.140605,0
5059,49,8438,1999,0.80847,0.990407,0.374824,0.990407,0.625176,0.543832,0.868253,1.140689,0
5059,49,8437,2000,0.808374,0.990407,0.374852,0.990407,0.625148,0.543862,0.868189,1.140774,0
5059,49,8436,2001,0.808278,0.990407,0.37488,0.990407,0.62512,0.543891,0.868125,1.140858,0
5059,49,8435,2002,0.808182,0.990407,0.374907,0.990407,0.625093,0.54392,0.86806,1.140943,0
5059,49,8434,2003,0.808087,0.990407,0.374935,0.990407,0.625065,0.543949,0.867996,1.141027,0
5059,49,8433,2004,0.807991,0.990407,0.374963,0.990407,0.625037,0.543978,0.867932,1.141112,0
5059,49,8432,2005,0.807895,0.990407,0.374991,0.990407,0.625009,0.544008,0.867867,1.141196,0
5059,49,8431,2006,0.807799,0.990407,0.375019,0.990407,0.624981,0.544037,0.867803,1.141281,0
5059,49,8430,2007,0.807703,0.990407,0.375046,0.990407,0.624954,0.544066,0.867739,1.141366,0
5059,49,8429,2008,0.807608,0.990407,0.375074,0.990407,0.624926,0.544096,0.867674,1.14145,0
5059,49,8428,2009,0.807512,0.990407,0.375102,0.990407,0.624898,0.544125,0.86761,1.141535,0
5059,49,8427,2010,0.807416,0.990407,0.37513,0.990407,0.62487,0.544154,0.867546,1.141619,0
5059,49,8426,2011,0.80732,0.990407,0.375158,0.990407,0.624842,0.544183,0.867482,1.141704,0
5059,49,8425,2012,0.807224,0.990407,0.375185,0.990407,0.624815,0.544213,0.867417,1.141789,0
5059,49,8424,2013,0.807128,0.990407,0.375213,0.990407,0.624787,0.544242,0.867353,1.141873,0
5059,49,8423,2014,0.807033,0.990407,0.375241,0.990407,0.624759,0.544271,0.867289,1.141958,0
5059,49,8422,2015,0.806937,0.990407,0.375269,0.990407,0.624731,0.5443,0.867224,1.142043,0
5059,49,8421,2016,0.806841,0.990407,0.375297,0.990407,0.624703,0.54433,0.86716,1.142128,0
5059,49,8420,2017,0.806745,0.990407,0.375325,0.990407,0.624675,0.544359,0.867096,1.142212,0
5059,49,8419,2018,0.806649,0.990407,0.375352,0.990407,0.624648,0.544388,0.867031,1.142297,0
5059,49,8418,2019,0.806554,0.990407,0.37538,0.990407,0.62462,0.544418,0.866967,1.142382,0
5059,49,8417,2020,0.806458,0.990407,0.375408,0.990407,0.624592,0.544447,0.866903,1.142467,0
5059,49,8416,2021,0.806362,0.990407,0.375436,0.990407,0.624564,0.544476,0.866838,1.142551,0
5059,49,8415,2022,0.806266,0.990407,0.375464,0.990407,0.624536,0.544505,0.866774,1.142636,0
5059,49,8414,2023,0.80617,0.990407,0.375492,0.990407,0.624508,0.544535,0.86671,1.142721,0
5059,49,8413,2024,0.806075,0.990407,0.37552,0.990407,0.62448,0.544564,0.866645,1.142806,0
5059,49,8412,2025,0.805979,0.990407,0.375547,0.990407,0.624453,0.544593,0.866581,1.142891,0
5059,49,8411,2026,0.805883,0.990407,0.375575,0.990407,0.624425,0.544623,0.866517,1.142976,0
5059,49,8410,2027,0.805787,0.990407,0.375603,0.990407,0.624397,0.544652,0.866452,1.14306,0
5059,49,8409,2028,0.805691,0.990407,0.375631,0.990407,0.624369,0.544681,0.866388,1.143145,0
5059,49,8408,2029,0.805595,0.990407,0.375659,0.990407,0.624341,0.544711,0.866324,1.14323,0
5059,49,8407,2030,0.8055,0.990407,0.375687,0.990407,0.624313,0.54474,0.866259,1.143315,0
5059,49,8406,2031,0.805404,0.990407,0.375715,0.990407,0.624285,0.544769,0.866195,1.1434,0
5059,49,8405,2032,0.805308,0.990407,0.375743,0.990407,0.624257,0.544799,0.866131,1.143485,0
