'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
5108,0,10437,0,1,1,0.328594,1,0.671406,0.49465,1,1,0
5090,18,6304,4133,0.604005,0.996476,0.446726,0.996476,0.553274,0.616895,0.732969,1.359507,0.01
5078,30,5041,5396,0.482993,0.994127,0.501828,0.994127,0.498172,0.666973,0.650949,1.527197,0.02
5059,49,4234,6203,0.405672,0.990407,0.544388,0.990407,0.455612,0.70259,0.597813,1.656718,0.03
5046,62,3629,6808,0.347705,0.987862,0.581671,0.987862,0.418329,0.732206,0.558057,1.770181,0.04
5031,77,3154,7283,0.302194,0.984926,0.614661,0.984926,0.385339,0.75694,0.526536,1.870576,0.05
5013,95,2801,7636,0.268372,0.981402,0.641541,0.981402,0.358459,0.775886,0.50267,1.952379,0.06
4997,111,2506,7931,0.240107,0.978269,0.666,0.978269,0.334,0.792483,0.482663,2.026816,0.07
4987,121,2242,8195,0.214813,0.976312,0.68986,0.976312,0.31014,0.808462,0.465037,2.099428,0.08
4976,132,2006,8431,0.192201,0.974158,0.71269,0.974158,0.28731,0.82316,0.449148,2.168904,0.09
4968,140,1799,8638,0.172368,0.972592,0.734151,0.972592,0.265849,0.836716,0.435317,2.234216,0.1
4952,156,1646,8791,0.157708,0.96946,0.75053,0.96946,0.24947,0.846062,0.424445,2.284063,0.11
4936,172,1514,8923,0.145061,0.966327,0.765271,0.966327,0.234729,0.854127,0.414924,2.328924,0.12
4919,189,1381,9056,0.132318,0.962999,0.780794,0.962999,0.219206,0.862377,0.405275,2.376162,0.13
4903,205,1268,9169,0.121491,0.959867,0.794523,0.959867,0.205477,0.869403,0.396977,2.417944,0.14
4887,221,1178,9259,0.112868,0.956735,0.805771,0.956735,0.194229,0.874787,0.390158,2.452174,0.15
4874,234,1098,9339,0.105203,0.95419,0.816142,0.95419,0.183858,0.879783,0.384175,2.483737,0.16
4864,244,990,9447,0.094855,0.952232,0.830885,0.952232,0.169115,0.887429,0.376584,2.528603,0.17
4857,251,893,9544,0.085561,0.950861,0.844696,0.950861,0.155304,0.89464,0.369894,2.570633,0.18
4840,268,825,9612,0.079046,0.947533,0.854369,0.947533,0.145631,0.898543,0.364426,2.600071,0.19
4827,281,764,9673,0.073201,0.944988,0.863352,0.944988,0.136648,0.902327,0.359665,2.627409,0.2
4812,296,699,9738,0.066973,0.942052,0.873163,0.942052,0.126837,0.9063,0.354519,2.657266,0.21
4801,307,649,9788,0.062183,0.939898,0.880917,0.939898,0.119083,0.909453,0.350595,2.680866,0.22
4792,316,606,9831,0.058063,0.938136,0.887736,0.938136,0.112264,0.912241,0.34725,2.701617,0.23
4779,329,565,9872,0.054134,0.935591,0.894274,0.935591,0.105726,0.914466,0.343776,2.721513,0.24
4769,339,531,9906,0.050877,0.933634,0.899811,0.933634,0.100189,0.91641,0.340946,2.738365,0.25
4755,353,486,9951,0.046565,0.930893,0.90727,0.930893,0.09273,0.918929,0.33715,2.761062,0.26
4747,361,449,9988,0.04302,0.929327,0.913587,0.929327,0.086413,0.92139,0.334255,2.780289,0.27
4737,371,419,10018,0.040146,0.927369,0.918735,0.927369,0.081265,0.923032,0.331682,2.795956,0.28
4723,385,386,10051,0.036984,0.924628,0.924447,0.924628,0.075553,0.924538,0.328659,2.813338,0.29
4709,399,361,10076,0.034588,0.921887,0.928797,0.921887,0.071203,0.925329,0.32615,2.826575,0.3
4696,412,342,10095,0.032768,0.919342,0.932116,0.919342,0.067884,0.925685,0.324091,2.836676,0.31
4685,423,315,10122,0.030181,0.917189,0.937,0.917189,0.063,0.926989,0.321647,2.85154,0.32
4679,429,297,10140,0.028456,0.916014,0.940314,0.916014,0.059686,0.928005,0.320103,2.861624,0.33
4669,439,284,10153,0.027211,0.914056,0.942661,0.914056,0.057339,0.928138,0.318623,2.868768,0.34
4661,447,272,10165,0.026061,0.91249,0.944861,0.91249,0.055139,0.928394,0.317337,2.875463,0.35
4643,465,250,10187,0.023953,0.908966,0.948907,0.908966,0.051093,0.928507,0.314764,2.887775,0.36
4633,475,233,10204,0.022324,0.907009,0.952117,0.907009,0.047883,0.929015,0.313027,2.897544,0.37
4624,484,216,10221,0.020696,0.905247,0.955372,0.905247,0.044628,0.929634,0.311354,2.90745,0.38
4616,492,200,10237,0.019163,0.903681,0.958472,0.903681,0.041528,0.93027,0.30981,2.916884,0.39
4607,501,185,10252,0.017725,0.901919,0.961394,0.901919,0.038606,0.930707,0.308266,2.925777,0.4
4601,507,171,10266,0.016384,0.900744,0.964166,0.900744,0.035834,0.931377,0.30698,2.934213,0.41
4596,512,160,10277,0.01533,0.899765,0.966358,0.899765,0.033642,0.931873,0.30595,2.940885,0.42
4588,520,143,10294,0.013701,0.898199,0.969774,0.898199,0.030226,0.932615,0.304342,2.951279,0.43
4580,528,136,10301,0.013031,0.896633,0.971162,0.896633,0.028838,0.93241,0.303377,2.955504,0.44
4567,541,126,10311,0.012072,0.894088,0.973152,0.894088,0.026848,0.931946,0.301898,2.961558,0.45
4560,548,114,10323,0.010923,0.892717,0.97561,0.892717,0.02439,0.932325,0.300675,2.969039,0.46
4547,561,108,10329,0.010348,0.890172,0.976799,0.890172,0.023201,0.931476,0.299453,2.972659,0.47
4539,569,104,10333,0.009965,0.888606,0.977601,0.888606,0.022399,0.930981,0.298681,2.975098,0.48
4532,576,96,10341,0.009198,0.887236,0.979257,0.887236,0.020743,0.930978,0.297716,2.980138,0.49
4523,585,92,10345,0.008815,0.885474,0.980065,0.885474,0.019935,0.930371,0.29688,2.982598,0.5
4513,595,88,10349,0.008432,0.883516,0.980874,0.883516,0.019126,0.929653,0.295979,2.985059,0.51
4508,600,83,10354,0.007952,0.882537,0.981921,0.882537,0.018079,0.92958,0.295336,2.988247,0.52
4503,605,79,10358,0.007569,0.881558,0.982759,0.881558,0.017241,0.929412,0.294757,2.990795,0.53
4495,613,75,10362,0.007186,0.879992,0.983589,0.879992,0.016411,0.928911,0.293985,2.993321,0.54
4493,615,68,10369,0.006515,0.879601,0.985091,0.879601,0.014909,0.929362,0.293406,2.997893,0.55
4478,630,66,10371,0.006324,0.876664,0.985475,0.876664,0.014525,0.927891,0.292313,2.999063,0.56
4470,638,61,10376,0.005845,0.875098,0.986537,0.875098,0.013463,0.927482,0.291476,3.002295,0.57
4468,640,59,10378,0.005653,0.874706,0.986967,0.874706,0.013033,0.927452,0.291219,3.003603,0.58
4457,651,56,10381,0.005366,0.872553,0.987591,0.872553,0.012409,0.926515,0.290318,3.005503,0.59
4449,659,52,10385,0.004982,0.870987,0.988447,0.870987,0.011553,0.926007,0.289546,3.008107,0.6
4440,668,51,10386,0.004886,0.869225,0.988644,0.869225,0.011356,0.925096,0.288903,3.008706,0.61
4435,673,50,10387,0.004791,0.868246,0.988852,0.868246,0.011148,0.924633,0.288517,3.009338,0.62
4430,678,49,10388,0.004695,0.867267,0.98906,0.867267,0.01094,0.924168,0.288131,3.009972,0.63
4421,687,46,10391,0.004407,0.865505,0.989702,0.865505,0.010298,0.923446,0.287359,3.011927,0.64
4413,695,41,10396,0.003928,0.863939,0.990795,0.863939,0.009205,0.923029,0.286523,3.015252,0.65
4407,701,39,10398,0.003737,0.862764,0.991228,0.862764,0.008772,0.922546,0.286008,3.01657,0.66
4399,709,36,10401,0.003449,0.861198,0.991883,0.861198,0.008117,0.921932,0.285301,3.018563,0.67
4391,717,34,10403,0.003258,0.859632,0.992316,0.859632,0.007684,0.921221,0.284657,3.019882,0.68
4388,720,30,10407,0.002874,0.859045,0.99321,0.859045,0.00679,0.921268,0.284207,3.0226,0.69
4378,730,29,10408,0.002779,0.857087,0.99342,0.857087,0.00658,0.920231,0.2835,3.023239,0.7
4371,737,27,10410,0.002587,0.855717,0.993861,0.855717,0.006139,0.91963,0.282921,3.024582,0.71
4364,744,23,10414,0.002204,0.854346,0.994757,0.854346,0.005243,0.919221,0.282213,3.02731,0.72
4358,750,22,10415,0.002108,0.853171,0.994977,0.853171,0.005023,0.918634,0.281763,3.02798,0.73
4351,757,20,10417,0.001916,0.851801,0.995424,0.851801,0.004576,0.918029,0.281184,3.029341,0.74
4344,764,18,10419,0.001725,0.850431,0.995873,0.850431,0.004127,0.917423,0.280605,3.030707,0.75
4340,768,17,10420,0.001629,0.849648,0.996098,0.849648,0.003902,0.917063,0.280283,3.031391,0.76
4329,779,16,10421,0.001533,0.847494,0.996318,0.847494,0.003682,0.9159,0.279511,3.032059,0.77
4324,784,14,10423,0.001341,0.846515,0.996773,0.846515,0.003227,0.91552,0.279061,3.033444,0.78
4310,798,11,10426,0.001054,0.843774,0.997454,0.843774,0.002546,0.914201,0.277967,3.035518,0.79
4300,808,11,10426,0.001054,0.841817,0.997448,0.841817,0.002552,0.913048,0.277324,3.0355,0.8
4290,818,11,10426,0.001054,0.839859,0.997442,0.839859,0.002558,0.911893,0.276681,3.035482,0.81
4285,823,11,10426,0.001054,0.83888,0.997439,0.83888,0.002561,0.911314,0.276359,3.035473,0.82
4280,828,10,10427,0.000958,0.837901,0.997669,0.837901,0.002331,0.910832,0.275973,3.036172,0.83
4276,832,10,10427,0.000958,0.837118,0.997667,0.837118,0.002333,0.910368,0.275716,3.036165,0.84
4270,838,10,10427,0.000958,0.835944,0.997664,0.835944,0.002336,0.909672,0.27533,3.036155,0.85
4261,847,10,10427,0.000958,0.834182,0.997659,0.834182,0.002341,0.908626,0.274751,3.03614,0.86
4254,854,9,10428,0.000862,0.832811,0.997889,0.832811,0.002111,0.907907,0.274236,3.036841,0.87
4248,860,7,10430,0.000671,0.831637,0.998355,0.831637,0.001645,0.907401,0.273721,3.038259,0.88
4242,866,7,10430,0.000671,0.830462,0.998353,0.830462,0.001647,0.906701,0.273335,3.038252,0.89
4235,873,6,10431,0.000575,0.829092,0.998585,0.829092,0.001415,0.905979,0.272821,3.03896,0.9
4229,879,5,10432,0.000479,0.827917,0.998819,0.827917,0.001181,0.905374,0.272371,3.039672,0.91
4222,886,3,10434,0.000287,0.826547,0.99929,0.826547,0.00071,0.904747,0.271792,3.041105,0.92
4212,896,3,10434,0.000287,0.824589,0.999288,0.824589,0.000712,0.903572,0.271148,3.041099,0.93
4207,901,3,10434,0.000287,0.82361,0.999287,0.82361,0.000713,0.902983,0.270827,3.041097,0.94
4202,906,2,10435,0.000192,0.822631,0.999524,0.822631,0.000476,0.902491,0.270441,3.041818,0.95
4192,916,2,10435,0.000192,0.820673,0.999523,0.820673,0.000477,0.901312,0.269797,3.041814,0.96
4181,927,1,10436,0.000096,0.81852,0.999761,0.81852,0.000239,0.900108,0.269025,3.042538,0.97
4166,942,1,10436,0.000096,0.815583,0.99976,0.815583,0.00024,0.898329,0.26806,3.042535,0.98
4145,963,0,10437,0,0.811472,1,0.811472,0,0.895926,0.266645,3.043265,0.99
4086,1022,0,10437,0,0.799922,1,0.799922,0,0.888841,0.26285,3.043265,1
0,5108,0,10437,0,0,?,0,?,?,0,?,1.00001
