'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1032,0,77,0,1,1,0.930568,1,0.069432,0.964035,1,1,0
1031,1,77,0,1,0.999031,0.930505,0.999031,0.069495,0.963551,0.999098,0.999933,0
1030,2,77,0,1,0.998062,0.930443,0.998062,0.069557,0.963067,0.998197,0.999865,0
1030,2,76,1,0.987013,0.998062,0.931284,0.998062,0.068716,0.963517,0.997295,1.000769,0
1029,3,76,1,0.987013,0.997093,0.931222,0.997093,0.068778,0.963032,0.996393,1.000702,0
1029,3,75,2,0.974026,0.997093,0.932065,0.997093,0.067935,0.963483,0.995491,1.001609,0
1028,4,75,2,0.974026,0.996124,0.932004,0.996124,0.067996,0.962998,0.99459,1.001543,0
1027,5,75,2,0.974026,0.995155,0.931942,0.995155,0.068058,0.962512,0.993688,1.001476,0
1027,5,74,3,0.961039,0.995155,0.932788,0.995155,0.067212,0.962963,0.992786,1.002386,0
1027,5,73,4,0.948052,0.995155,0.933636,0.995155,0.066364,0.963415,0.991885,1.003297,0
1026,6,73,4,0.948052,0.994186,0.933576,0.994186,0.066424,0.962928,0.990983,1.003232,0
1025,7,73,4,0.948052,0.993217,0.933515,0.993217,0.066485,0.962441,0.990081,1.003167,0
1024,8,73,4,0.948052,0.992248,0.933455,0.992248,0.066545,0.961954,0.989179,1.003102,0.000001
1024,8,72,5,0.935065,0.992248,0.934307,0.992248,0.065693,0.962406,0.988278,1.004017,0.000001
1024,8,71,6,0.922078,0.992248,0.93516,0.992248,0.06484,0.962858,0.987376,1.004934,0.000002
1023,9,71,6,0.922078,0.991279,0.935101,0.991279,0.064899,0.962371,0.986474,1.004871,0.000003
1022,10,71,6,0.922078,0.99031,0.935041,0.99031,0.064959,0.961882,0.985573,1.004807,0.000004
1022,10,70,7,0.909091,0.99031,0.935897,0.99031,0.064103,0.962335,0.984671,1.005727,0.000005
1021,11,70,7,0.909091,0.989341,0.935839,0.989341,0.064161,0.961846,0.983769,1.005664,0.00001
1020,12,70,7,0.909091,0.988372,0.93578,0.988372,0.06422,0.961357,0.982867,1.005601,0.000014
1020,12,69,8,0.896104,0.988372,0.936639,0.988372,0.063361,0.96181,0.981966,1.006524,0.000173
1019,13,69,8,0.896104,0.987403,0.936581,0.987403,0.063419,0.961321,0.981064,1.006461,0.000219
1018,14,69,8,0.896104,0.986434,0.936523,0.986434,0.063477,0.960831,0.980162,1.006399,0.000345
1017,15,69,8,0.896104,0.985465,0.936464,0.985465,0.063536,0.96034,0.979261,1.006336,0.000406
1017,15,68,9,0.883117,0.985465,0.937327,0.985465,0.062673,0.960794,0.978359,1.007263,0.000607
1016,16,68,9,0.883117,0.984496,0.937269,0.984496,0.062731,0.960302,0.977457,1.007201,0.001561
1016,16,67,10,0.87013,0.984496,0.938135,0.984496,0.061865,0.960757,0.976555,1.008131,0.001635
1016,16,66,11,0.857143,0.984496,0.939002,0.984496,0.060998,0.961211,0.975654,1.009063,0.002817
1015,17,66,11,0.857143,0.983527,0.938945,0.983527,0.061055,0.960719,0.974752,1.009002,0.003056
1015,17,65,12,0.844156,0.983527,0.939815,0.983527,0.060185,0.961174,0.97385,1.009937,0.003124
1015,17,64,13,0.831169,0.983527,0.940686,0.983527,0.059314,0.96163,0.972949,1.010873,0.003523
1015,17,63,14,0.818182,0.983527,0.941558,0.983527,0.058442,0.962085,0.972047,1.01181,0.004463
1014,18,63,14,0.818182,0.982558,0.941504,0.982558,0.058496,0.961593,0.971145,1.011752,0.006759
1013,19,63,14,0.818182,0.981589,0.94145,0.981589,0.05855,0.961101,0.970243,1.011694,0.009885
1012,20,63,14,0.818182,0.98062,0.941395,0.98062,0.058605,0.960607,0.969342,1.011635,0.011242
1012,20,62,15,0.805195,0.98062,0.942272,0.98062,0.057728,0.961064,0.96844,1.012577,0.011947
1012,20,61,16,0.792208,0.98062,0.94315,0.98062,0.05685,0.96152,0.967538,1.013521,0.013221
1011,21,61,16,0.792208,0.979651,0.943097,0.979651,0.056903,0.961027,0.966637,1.013464,0.013632
1010,22,61,16,0.792208,0.978682,0.943044,0.978682,0.056956,0.960533,0.965735,1.013407,0.017011
1010,22,59,18,0.766234,0.978682,0.944808,0.978682,0.055192,0.961447,0.963931,1.015303,0.02244
1009,23,59,18,0.766234,0.977713,0.944757,0.977713,0.055243,0.960952,0.96303,1.015247,0.022735
1008,24,59,18,0.766234,0.976744,0.944705,0.976744,0.055295,0.960457,0.962128,1.015191,0.048402
1007,25,59,18,0.766234,0.975775,0.944653,0.975775,0.055347,0.959962,0.961226,1.015136,0.071312
1007,25,58,19,0.753247,0.975775,0.94554,0.975775,0.05446,0.96042,0.960325,1.016089,0.082854
1006,26,58,19,0.753247,0.974806,0.945489,0.974806,0.054511,0.959924,0.959423,1.016034,0.083618
1005,27,58,19,0.753247,0.973837,0.945437,0.973837,0.054563,0.959427,0.958521,1.015979,0.088145
1004,28,58,19,0.753247,0.972868,0.945386,0.972868,0.054614,0.95893,0.957619,1.015924,0.111072
1003,29,58,19,0.753247,0.971899,0.945335,0.971899,0.054665,0.958433,0.956718,1.015868,0.134673
1002,30,58,19,0.753247,0.97093,0.945283,0.97093,0.054717,0.957935,0.955816,1.015813,0.235907
1001,31,58,19,0.753247,0.969961,0.945231,0.969961,0.054769,0.957437,0.954914,1.015757,0.325484
1000,32,58,19,0.753247,0.968992,0.94518,0.968992,0.05482,0.956938,0.954013,1.015702,0.358346
999,33,58,19,0.753247,0.968023,0.945128,0.968023,0.054872,0.956438,0.953111,1.015646,0.369976
999,33,57,20,0.74026,0.968023,0.946023,0.968023,0.053977,0.956897,0.952209,1.016608,0.41909
998,34,57,20,0.74026,0.967054,0.945972,0.967054,0.054028,0.956397,0.951307,1.016553,0.5
996,36,55,22,0.714286,0.965116,0.947669,0.965116,0.052331,0.956313,0.947701,1.018377,0.500002
995,37,55,22,0.714286,0.964147,0.947619,0.964147,0.052381,0.955812,0.946799,1.018323,0.500004
994,38,55,22,0.714286,0.963178,0.947569,0.963178,0.052431,0.95531,0.945897,1.01827,0.500018
993,39,55,22,0.714286,0.962209,0.947519,0.962209,0.052481,0.954808,0.944995,1.018216,0.501737
992,40,55,22,0.714286,0.96124,0.947469,0.96124,0.052531,0.954305,0.944094,1.018162,0.50695
991,41,55,22,0.714286,0.960271,0.947419,0.960271,0.052581,0.953802,0.943192,1.018108,0.597287
990,42,55,22,0.714286,0.959302,0.947368,0.959302,0.052632,0.953298,0.94229,1.018054,0.641237
989,43,55,22,0.714286,0.958333,0.947318,0.958333,0.052682,0.952794,0.941389,1.018,0.646424
988,44,55,22,0.714286,0.957364,0.947267,0.957364,0.052733,0.952289,0.940487,1.017945,0.673767
987,45,55,22,0.714286,0.956395,0.947217,0.956395,0.052783,0.951784,0.939585,1.017891,0.696403
986,46,55,22,0.714286,0.955426,0.947166,0.955426,0.052834,0.951278,0.938683,1.017837,0.698762
985,47,55,22,0.714286,0.954457,0.947115,0.954457,0.052885,0.950772,0.937782,1.017782,0.712758
984,48,55,22,0.714286,0.953488,0.947064,0.953488,0.052936,0.950266,0.93688,1.017727,0.764714
