'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1032,0,77,0,1,1,0.930568,1,0.069432,0.964035,1,1,0.005548
1031,1,77,0,1,0.999031,0.930505,0.999031,0.069495,0.963551,0.999098,0.999933,0.006504
1030,2,77,0,1,0.998062,0.930443,0.998062,0.069557,0.963067,0.998197,0.999865,0.008722
1029,3,77,0,1,0.997093,0.93038,0.997093,0.06962,0.962582,0.997295,0.999798,0.012996
1029,3,76,1,0.987013,0.997093,0.931222,0.997093,0.068778,0.963032,0.996393,1.000702,0.021657
1029,3,75,2,0.974026,0.997093,0.932065,0.997093,0.067935,0.963483,0.995491,1.001609,0.022236
1028,4,75,2,0.974026,0.996124,0.932004,0.996124,0.067996,0.962998,0.99459,1.001543,0.039975
1028,4,74,3,0.961039,0.996124,0.932849,0.996124,0.067151,0.963449,0.993688,1.002451,0.045526
1028,4,73,4,0.948052,0.996124,0.933697,0.996124,0.066303,0.963901,0.992786,1.003362,0.049411
1028,4,72,5,0.935065,0.996124,0.934545,0.996124,0.065455,0.964353,0.991885,1.004274,0.066097
1028,4,71,6,0.922078,0.996124,0.935396,0.996124,0.064604,0.964805,0.990983,1.005188,0.075325
1028,4,70,7,0.909091,0.996124,0.936248,0.996124,0.063752,0.965258,0.990081,1.006103,0.077163
1027,5,70,7,0.909091,0.995155,0.93619,0.995155,0.06381,0.964772,0.989179,1.006041,0.082901
1027,5,69,8,0.896104,0.995155,0.937044,0.995155,0.062956,0.965226,0.988278,1.006959,0.214287
1026,6,69,8,0.896104,0.994186,0.936986,0.994186,0.063014,0.964739,0.987376,1.006897,0.240293
1026,6,68,9,0.883117,0.994186,0.937843,0.994186,0.062157,0.965193,0.986474,1.007817,0.292602
1026,6,67,10,0.87013,0.994186,0.938701,0.994186,0.061299,0.965647,0.985573,1.00874,0.360485
1026,6,66,11,0.857143,0.994186,0.93956,0.994186,0.06044,0.966102,0.984671,1.009663,0.37369
1026,6,65,12,0.844156,0.994186,0.940422,0.994186,0.059578,0.966557,0.983769,1.010589,0.577424
1025,7,65,12,0.844156,0.993217,0.940367,0.993217,0.059633,0.96607,0.982867,1.01053,0.578929
1025,7,64,13,0.831169,0.993217,0.94123,0.993217,0.05877,0.966525,0.981966,1.011458,0.594555
1024,8,64,13,0.831169,0.992248,0.941176,0.992248,0.058824,0.966038,0.981064,1.0114,0.610541
1023,9,64,13,0.831169,0.991279,0.941122,0.991279,0.058878,0.96555,0.980162,1.011342,0.626972
1022,10,64,13,0.831169,0.99031,0.941068,0.99031,0.058932,0.965061,0.979261,1.011283,0.663054
1021,11,64,13,0.831169,0.989341,0.941014,0.989341,0.058986,0.964573,0.978359,1.011225,0.673146
1021,11,63,14,0.818182,0.989341,0.941882,0.989341,0.058118,0.965028,0.977457,1.012158,0.695895
1020,12,63,14,0.818182,0.988372,0.941828,0.988372,0.058172,0.964539,0.976555,1.0121,0.709803
1020,12,62,15,0.805195,0.988372,0.942699,0.988372,0.057301,0.964995,0.975654,1.013036,0.714791
1019,13,62,15,0.805195,0.987403,0.942646,0.987403,0.057354,0.964505,0.974752,1.012979,0.739271
1018,14,62,15,0.805195,0.986434,0.942593,0.986434,0.057407,0.964015,0.97385,1.012922,0.749446
1017,15,62,15,0.805195,0.985465,0.942539,0.985465,0.057461,0.963524,0.972949,1.012865,0.76199
1016,16,62,15,0.805195,0.984496,0.942486,0.984496,0.057514,0.963033,0.972047,1.012807,0.76351
