'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1032,0,77,0,1,1,0.930568,1,0.069432,0.964035,1,1,0.00025
1030,2,77,0,1,0.998062,0.930443,0.998062,0.069557,0.963067,0.998197,0.999865,0.000334
1030,2,71,6,0.922078,0.998062,0.935513,0.998062,0.064487,0.965776,0.992786,1.005314,0.000501
1030,2,69,8,0.896104,0.998062,0.937216,0.998062,0.062784,0.966682,0.990983,1.007144,0.000999
1027,5,67,10,0.87013,0.995155,0.938757,0.995155,0.061243,0.966134,0.986474,1.0088,0.001
987,45,43,34,0.558442,0.956395,0.958252,0.956395,0.041748,0.957323,0.928765,1.02975,0.5
986,46,43,34,0.558442,0.955426,0.958212,0.955426,0.041788,0.956817,0.927863,1.029706,0.5
981,51,42,35,0.545455,0.950581,0.958944,0.950581,0.041056,0.954745,0.922453,1.030493,0.999
251,781,6,71,0.077922,0.243217,0.976654,0.243217,0.023346,0.389449,0.23174,1.049524,0.999001
167,865,1,76,0.012987,0.161822,0.994048,0.161822,0.005952,0.278333,0.151488,1.068216,0.999499
97,935,0,77,0,0.093992,1,0.093992,0,0.171833,0.087466,1.074612,0.9995
90,942,0,77,0,0.087209,1,0.087209,0,0.160428,0.081154,1.074612,0.999666
63,969,0,77,0,0.061047,1,0.061047,0,0.115068,0.056808,1.074612,0.999667
61,971,0,77,0,0.059109,1,0.059109,0,0.111619,0.055005,1.074612,0.99975
55,977,0,77,0,0.053295,1,0.053295,0,0.101196,0.049594,1.074612,0.99975
52,980,0,77,0,0.050388,1,0.050388,0,0.095941,0.046889,1.074612,0.9998
44,988,0,77,0,0.042636,1,0.042636,0,0.081784,0.039675,1.074612,0.999833
37,995,0,77,0,0.035853,1,0.035853,0,0.069224,0.033363,1.074612,0.999857
33,999,0,77,0,0.031977,1,0.031977,0,0.061972,0.029757,1.074612,0.999857
32,1000,0,77,0,0.031008,1,0.031008,0,0.06015,0.028855,1.074612,0.999875
31,1001,0,77,0,0.030039,1,0.030039,0,0.058325,0.027953,1.074612,0.999961
21,1011,0,77,0,0.020349,1,0.020349,0,0.039886,0.018936,1.074612,0.999963
13,1019,0,77,0,0.012597,1,0.012597,0,0.02488,0.011722,1.074612,0.999964
7,1025,0,77,0,0.006783,1,0.006783,0,0.013474,0.006312,1.074612,0.999965
3,1029,0,77,0,0.002907,1,0.002907,0,0.005797,0.002705,1.074612,0.999965
1,1031,0,77,0,0.000969,1,0.000969,0,0.001936,0.000902,?,0.999967
0,1032,0,77,0,0,?,0,?,?,0,?,0.999977
