'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
16670,0,516,0,1,1,0.969976,1,0.030024,0.984759,1,1,0
16582,88,385,131,0.746124,0.994721,0.977309,0.994721,0.022691,0.985938,0.987257,1.00756,0.03125
16581,89,383,133,0.742248,0.994661,0.977423,0.994661,0.022577,0.985967,0.987083,1.007678,0.037037
16580,90,380,136,0.736434,0.994601,0.977594,0.994601,0.022406,0.986024,0.98685,1.007855,0.038462
16580,90,378,138,0.732558,0.994601,0.97771,0.994601,0.02229,0.986083,0.986733,1.007973,0.047619
16580,90,377,139,0.73062,0.994601,0.977767,0.994601,0.022233,0.986112,0.986675,1.008033,0.05
16579,91,376,140,0.728682,0.994541,0.977824,0.994541,0.022176,0.986112,0.986559,1.008091,0.060606
16577,93,375,141,0.726744,0.994421,0.977879,0.994421,0.022121,0.986081,0.986384,1.008148,0.0625
16576,94,374,142,0.724806,0.994361,0.977935,0.994361,0.022065,0.98608,0.986268,1.008206,0.068966
16574,96,373,143,0.722868,0.994241,0.97799,0.994241,0.02201,0.986049,0.986093,1.008263,0.071429
16572,98,372,144,0.72093,0.994121,0.978045,0.994121,0.021955,0.986018,0.985919,1.00832,0.076923
16572,98,371,145,0.718992,0.994121,0.978103,0.994121,0.021897,0.986047,0.985861,1.008379,0.083333
16572,98,366,150,0.709302,0.994121,0.978392,0.994121,0.021608,0.986194,0.98557,1.008677,0.090909
16571,99,362,154,0.70155,0.994061,0.978622,0.994061,0.021378,0.986281,0.985279,1.008914,0.096774
16569,101,360,156,0.697674,0.993941,0.978735,0.993941,0.021265,0.986279,0.985046,1.00903,0.1
16567,103,355,161,0.687984,0.993821,0.979021,0.993821,0.020979,0.986366,0.984639,1.009326,0.103448
16567,103,351,165,0.680233,0.993821,0.979253,0.993821,0.020747,0.986483,0.984406,1.009564,0.111111
16565,105,349,167,0.676357,0.993701,0.979366,0.993701,0.020634,0.986482,0.984173,1.009681,0.121212
16561,109,348,168,0.674419,0.993461,0.979419,0.993461,0.020581,0.98639,0.983882,1.009736,0.125
16554,116,343,173,0.664729,0.993041,0.979701,0.993041,0.020299,0.986326,0.983184,1.010026,0.129032
16550,120,338,178,0.655039,0.992801,0.979986,0.992801,0.020014,0.986352,0.98266,1.01032,0.142857
