'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
16670,0,516,0,1,1,0.969976,1,0.030024,0.984759,1,1,0
16616,54,438,78,0.848837,0.996761,0.974317,0.996761,0.025683,0.985411,0.992319,1.004476,0
16616,54,437,79,0.846899,0.996761,0.974374,0.996761,0.025626,0.98544,0.992261,1.004535,0
16616,54,436,80,0.844961,0.996761,0.974431,0.996761,0.025569,0.985469,0.992203,1.004594,0
16615,55,436,80,0.844961,0.996701,0.97443,0.996701,0.02557,0.985439,0.992145,1.004592,0
16614,56,436,80,0.844961,0.996641,0.974428,0.996641,0.025572,0.985409,0.992087,1.00459,0
16613,57,436,80,0.844961,0.996581,0.974427,0.996581,0.025573,0.985379,0.992028,1.004589,0
16612,58,436,80,0.844961,0.996521,0.974425,0.996521,0.025575,0.985349,0.99197,1.004587,0
16612,58,435,81,0.843023,0.996521,0.974482,0.996521,0.025518,0.985378,0.991912,1.004646,0
16611,59,435,81,0.843023,0.996461,0.974481,0.996461,0.025519,0.985348,0.991854,1.004645,0
16611,59,434,82,0.841085,0.996461,0.974538,0.996461,0.025462,0.985377,0.991796,1.004704,0
16610,60,434,82,0.841085,0.996401,0.974536,0.996401,0.025464,0.985347,0.991737,1.004702,0
16609,61,434,82,0.841085,0.996341,0.974535,0.996341,0.025465,0.985317,0.991679,1.004701,0
16609,61,433,83,0.839147,0.996341,0.974592,0.996341,0.025408,0.985346,0.991621,1.00476,0
16609,61,432,84,0.837209,0.996341,0.974649,0.996341,0.025351,0.985376,0.991563,1.004818,0
16608,62,432,84,0.837209,0.996281,0.974648,0.996281,0.025352,0.985346,0.991505,1.004817,0
16607,63,432,84,0.837209,0.996221,0.974646,0.996221,0.025354,0.985315,0.991447,1.004815,0
16606,64,432,84,0.837209,0.996161,0.974645,0.996161,0.025355,0.985285,0.991388,1.004814,0
16606,64,431,85,0.835271,0.996161,0.974702,0.996161,0.025298,0.985315,0.99133,1.004873,0
16605,65,431,85,0.835271,0.996101,0.974701,0.996101,0.025299,0.985285,0.991272,1.004871,0
16605,65,430,86,0.833333,0.996101,0.974758,0.996101,0.025242,0.985314,0.991214,1.00493,0
16604,66,430,86,0.833333,0.996041,0.974756,0.996041,0.025244,0.985284,0.991156,1.004929,0
16603,67,430,86,0.833333,0.995981,0.974755,0.995981,0.025245,0.985254,0.991097,1.004927,0
16602,68,430,86,0.833333,0.995921,0.974753,0.995921,0.025247,0.985223,0.991039,1.004926,0
16601,69,430,86,0.833333,0.995861,0.974752,0.995861,0.025248,0.985193,0.990981,1.004924,0
