'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
16670,0,516,0,1,1,0.969976,1,0.030024,0.984759,1,1,0
16669,1,507,9,0.982558,0.99994,0.970482,0.99994,0.029518,0.984991,0.999418,1.000522,0.01
16669,1,498,18,0.965116,0.99994,0.970991,0.99994,0.029009,0.985253,0.998894,1.001047,0.02
16669,1,495,21,0.959302,0.99994,0.971161,0.99994,0.028839,0.98534,0.99872,1.001222,0.03
16669,1,492,24,0.953488,0.99994,0.97133,0.99994,0.02867,0.985428,0.998545,1.001397,0.04
16669,1,486,30,0.94186,0.99994,0.97167,0.99994,0.02833,0.985602,0.998196,1.001747,0.05
16669,1,479,37,0.928295,0.99994,0.972067,0.99994,0.027933,0.985806,0.997789,1.002156,0.06
16669,1,476,40,0.922481,0.99994,0.972237,0.99994,0.027763,0.985894,0.997614,1.002331,0.07
16669,1,472,44,0.914729,0.99994,0.972464,0.99994,0.027536,0.98601,0.997382,1.002565,0.078453
16668,2,472,44,0.914729,0.99988,0.972462,0.99988,0.027538,0.98598,0.997323,1.002563,0.08
16668,2,469,47,0.908915,0.99988,0.972632,0.99988,0.027368,0.986068,0.997149,1.002739,0.09
16668,2,467,49,0.905039,0.99988,0.972746,0.99988,0.027254,0.986126,0.997032,1.002856,0.1
16668,2,463,53,0.897287,0.99988,0.972973,0.99988,0.027027,0.986243,0.9968,1.00309,0.11
16668,2,462,54,0.895349,0.99988,0.97303,0.99988,0.02697,0.986272,0.996742,1.003149,0.13
16668,2,459,57,0.889535,0.99988,0.9732,0.99988,0.0268,0.98636,0.996567,1.003324,0.15
16666,4,456,60,0.883721,0.99976,0.973368,0.99976,0.026632,0.986387,0.996276,1.003497,0.158
16666,4,455,61,0.881783,0.99976,0.973424,0.99976,0.026576,0.986417,0.996218,1.003556,0.16
16666,4,453,63,0.877907,0.99976,0.973538,0.99976,0.026462,0.986475,0.996101,1.003673,0.17
16665,5,449,67,0.870155,0.9997,0.973764,0.9997,0.026236,0.986562,0.995811,1.003906,0.18
16663,7,443,73,0.858527,0.99958,0.974103,0.99958,0.025897,0.986677,0.995345,1.004255,0.19
16662,8,441,75,0.854651,0.99952,0.974215,0.99952,0.025785,0.986705,0.99517,1.004371,0.2
16658,12,436,80,0.844961,0.99928,0.974494,0.99928,0.025506,0.986731,0.994647,1.004658,0.205702
16658,12,435,81,0.843023,0.99928,0.974551,0.99928,0.025449,0.986761,0.994589,1.004717,0.21
16657,13,435,81,0.843023,0.99922,0.974549,0.99922,0.025451,0.986731,0.99453,1.004716,0.22
16657,13,432,84,0.837209,0.99922,0.974721,0.99922,0.025279,0.986818,0.994356,1.004892,0.22906
16657,13,431,85,0.835271,0.99922,0.974778,0.99922,0.025222,0.986848,0.994298,1.004951,0.23
16656,14,425,91,0.823643,0.99916,0.975119,0.99916,0.024881,0.986993,0.99389,1.005302,0.236786
16654,16,424,92,0.821705,0.99904,0.975173,0.99904,0.024827,0.986962,0.993716,1.005358,0.24
16654,16,418,98,0.810078,0.99904,0.975515,0.99904,0.024485,0.987138,0.993367,1.005711,0.25
16651,19,417,99,0.80814,0.99886,0.975568,0.99886,0.024432,0.987077,0.993134,1.005766,0.26
16650,20,408,108,0.790698,0.9988,0.976082,0.9988,0.023918,0.98731,0.992552,1.006295,0.27
16650,20,406,110,0.786822,0.9988,0.976196,0.9988,0.023804,0.987369,0.992436,1.006413,0.28
16649,21,402,114,0.77907,0.99874,0.976424,0.99874,0.023576,0.987456,0.992145,1.006648,0.29
16647,23,397,119,0.76938,0.99862,0.976707,0.99862,0.023293,0.987542,0.991737,1.00694,0.3
16645,25,389,127,0.753876,0.9985,0.977163,0.9985,0.022837,0.987717,0.991156,1.00741,0.31
16643,27,388,128,0.751938,0.99838,0.977218,0.99838,0.022782,0.987686,0.990981,1.007467,0.31694
16643,27,387,129,0.75,0.99838,0.977275,0.99838,0.022725,0.987715,0.990923,1.007526,0.32
16640,30,382,134,0.74031,0.9982,0.977558,0.9982,0.022442,0.987772,0.990457,1.007818,0.33
16638,32,381,135,0.738372,0.99808,0.977613,0.99808,0.022387,0.987741,0.990283,1.007874,0.332234
16638,32,380,136,0.736434,0.99808,0.977671,0.99808,0.022329,0.98777,0.990225,1.007933,0.34
16637,33,377,139,0.73062,0.99802,0.977842,0.99802,0.022158,0.987828,0.989992,1.00811,0.341429
