'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1692,0,3308,0,1,1,0.3384,1,0.6616,0.505678,1,1,0
1431,261,1393,1915,0.4211,0.845745,0.506728,0.845745,0.493272,0.633747,0.5648,1.497423,0.002985
1431,261,1363,1945,0.412031,0.845745,0.512169,0.845745,0.487831,0.637985,0.5588,1.513502,0.005249
1431,261,1323,1985,0.39994,0.845745,0.519608,0.845745,0.480392,0.643725,0.5508,1.535484,0.005556
1429,263,1279,2029,0.386638,0.844563,0.527696,0.844563,0.472304,0.649545,0.5416,1.559385,0.005714
1429,263,1240,2068,0.374849,0.844563,0.535407,0.844563,0.464593,0.655354,0.5338,1.582171,0.006173
1428,264,1227,2081,0.370919,0.843972,0.537853,0.843972,0.462147,0.657005,0.531,1.5894,0.007143
1426,266,1200,2108,0.362757,0.84279,0.543031,0.84279,0.456969,0.660491,0.5252,1.604702,0.007407
1426,266,1176,2132,0.355502,0.84279,0.54804,0.84279,0.45196,0.664183,0.5204,1.619503,0.007463
1425,267,1161,2147,0.350967,0.842199,0.551044,0.842199,0.448956,0.666199,0.5172,1.628381,0.008197
1425,267,1143,2165,0.345526,0.842199,0.554907,0.842199,0.445093,0.669014,0.5136,1.639795,0.008333
1420,272,1130,2178,0.341596,0.839243,0.556863,0.839243,0.443137,0.669496,0.51,1.645575,0.008403
1419,273,1120,2188,0.338573,0.838652,0.558881,0.838652,0.441119,0.670763,0.5078,1.651541,0.008696
1418,274,1084,2224,0.32769,0.838061,0.566747,0.838061,0.433253,0.676204,0.5004,1.674783,0.009259
1415,277,1074,2234,0.324667,0.836288,0.568501,0.836288,0.431499,0.676872,0.4978,1.679969,0.009901
1413,279,1064,2244,0.321644,0.835106,0.570448,0.835106,0.429552,0.67786,0.4954,1.685721,0.010417
1413,279,1035,2273,0.312878,0.835106,0.577206,0.835106,0.422794,0.682609,0.4896,1.705691,0.011111
1411,281,992,2316,0.299879,0.833924,0.587183,0.833924,0.412817,0.689133,0.4806,1.735173,0.012987
1410,282,987,2321,0.298368,0.833333,0.588235,0.833333,0.411765,0.689655,0.4794,1.738284,0.013333
1410,282,978,2330,0.295647,0.833333,0.590452,0.833333,0.409548,0.691176,0.4776,1.744835,0.013405
1410,282,936,2372,0.28295,0.833333,0.601023,0.833333,0.398977,0.698366,0.4692,1.776073,0.015152
1409,283,932,2376,0.281741,0.832742,0.60188,0.832742,0.39812,0.698735,0.4682,1.778604,0.015873
1404,288,921,2387,0.278416,0.829787,0.603871,0.829787,0.396129,0.699029,0.465,1.784489,0.016393
1404,288,917,2391,0.277207,0.829787,0.604912,0.829787,0.395088,0.699726,0.4642,1.787564,0.016949
1404,288,912,2396,0.275695,0.829787,0.606218,0.829787,0.393782,0.700599,0.4632,1.791423,0.017857
1402,290,908,2400,0.274486,0.828605,0.606926,0.828605,0.393074,0.70065,0.462,1.793518,0.018182
1402,290,901,2407,0.27237,0.828605,0.608771,0.828605,0.391229,0.701877,0.4606,1.798969,0.018519
1397,295,892,2416,0.269649,0.82565,0.61031,0.82565,0.38969,0.701834,0.4578,1.803517,0.018868
1396,296,889,2419,0.268742,0.825059,0.610941,0.825059,0.389059,0.702037,0.457,1.805381,0.019608
1394,298,885,2423,0.267533,0.823877,0.611672,0.823877,0.388328,0.70209,0.4558,1.807541,0.020833
1392,300,868,2440,0.262394,0.822695,0.615929,0.822695,0.384071,0.704453,0.452,1.820122,0.023256
1391,301,866,2442,0.26179,0.822104,0.616305,0.822104,0.383695,0.704482,0.4514,1.821232,0.024
1390,302,853,2455,0.25786,0.821513,0.619706,0.821513,0.380294,0.70648,0.4486,1.831282,0.02439
1390,302,850,2458,0.256953,0.821513,0.620536,0.821513,0.379464,0.707019,0.448,1.833734,0.025126
1389,303,823,2485,0.248791,0.820922,0.627939,0.820922,0.372061,0.711578,0.4424,1.85561,0.026316
1385,307,817,2491,0.246977,0.818558,0.628974,0.818558,0.371026,0.711351,0.4404,1.858669,0.027027
1384,308,807,2501,0.243954,0.817967,0.631675,0.817967,0.368325,0.712851,0.4382,1.866652,0.027778
1379,313,789,2519,0.238513,0.815012,0.63607,0.815012,0.36393,0.714508,0.4336,1.87964,0.028571
1376,316,784,2524,0.237001,0.813239,0.637037,0.813239,0.362963,0.714434,0.432,1.882497,0.029412
1374,318,776,2532,0.234583,0.812057,0.63907,0.812057,0.36093,0.715252,0.43,1.888504,0.031496
1372,320,764,2544,0.230955,0.810875,0.642322,0.810875,0.357678,0.716823,0.4272,1.898115,0.032037
1370,322,719,2589,0.217352,0.809693,0.655816,0.809693,0.344184,0.724676,0.4178,1.937991,0.032258
1370,322,708,2600,0.214027,0.809693,0.659288,0.809693,0.340712,0.72679,0.4156,1.94825,0.034483
