'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1692,0,3308,0,1,1,0.3384,1,0.6616,0.505678,1,1,0
1691,1,2292,1016,0.692866,0.999409,0.424554,0.999409,0.575446,0.595947,0.7966,1.254593,0
1691,1,2291,1017,0.692563,0.999409,0.424661,0.999409,0.575339,0.596052,0.7964,1.254908,0
1691,1,2290,1018,0.692261,0.999409,0.424768,0.999409,0.575232,0.596157,0.7962,1.255224,0
1691,1,2289,1019,0.691959,0.999409,0.424874,0.999409,0.575126,0.596262,0.796,1.255539,0
1691,1,2288,1020,0.691657,0.999409,0.424981,0.999409,0.575019,0.596367,0.7958,1.255854,0
1691,1,2287,1021,0.691354,0.999409,0.425088,0.999409,0.574912,0.596473,0.7956,1.25617,0
1691,1,2286,1022,0.691052,0.999409,0.425195,0.999409,0.574805,0.596578,0.7954,1.256486,0
1691,1,2285,1023,0.69075,0.999409,0.425302,0.999409,0.574698,0.596683,0.7952,1.256802,0
1691,1,2284,1024,0.690447,0.999409,0.425409,0.999409,0.574591,0.596788,0.795,1.257118,0
1691,1,2283,1025,0.690145,0.999409,0.425516,0.999409,0.574484,0.596894,0.7948,1.257435,0
1691,1,2282,1026,0.689843,0.999409,0.425623,0.999409,0.574377,0.596999,0.7946,1.257751,0
1691,1,2281,1027,0.689541,0.999409,0.42573,0.999409,0.57427,0.597105,0.7944,1.258068,0
1691,1,2280,1028,0.689238,0.999409,0.425837,0.999409,0.574163,0.59721,0.7942,1.258385,0
1691,1,2279,1029,0.688936,0.999409,0.425945,0.999409,0.574055,0.597315,0.794,1.258701,0
1691,1,2278,1030,0.688634,0.999409,0.426052,0.999409,0.573948,0.597421,0.7938,1.259019,0
1691,1,2277,1031,0.688331,0.999409,0.426159,0.999409,0.573841,0.597527,0.7936,1.259336,0
1691,1,2276,1032,0.688029,0.999409,0.426267,0.999409,0.573733,0.597632,0.7934,1.259653,0
1691,1,2275,1033,0.687727,0.999409,0.426374,0.999409,0.573626,0.597738,0.7932,1.259971,0
1691,1,2274,1034,0.687424,0.999409,0.426482,0.999409,0.573518,0.597843,0.793,1.260289,0
1691,1,2273,1035,0.687122,0.999409,0.426589,0.999409,0.573411,0.597949,0.7928,1.260607,0
1691,1,2272,1036,0.68682,0.999409,0.426697,0.999409,0.573303,0.598055,0.7926,1.260925,0
1691,1,2271,1037,0.686518,0.999409,0.426805,0.999409,0.573195,0.598161,0.7924,1.261243,0
1691,1,2270,1038,0.686215,0.999409,0.426912,0.999409,0.573088,0.598266,0.7922,1.261561,0
1691,1,2269,1039,0.685913,0.999409,0.42702,0.999409,0.57298,0.598372,0.792,1.26188,0
1691,1,2268,1040,0.685611,0.999409,0.427128,0.999409,0.572872,0.598478,0.7918,1.262199,0
1691,1,2267,1041,0.685308,0.999409,0.427236,0.999409,0.572764,0.598584,0.7916,1.262518,0
1691,1,2266,1042,0.685006,0.999409,0.427344,0.999409,0.572656,0.59869,0.7914,1.262837,0
1691,1,2265,1043,0.684704,0.999409,0.427452,0.999409,0.572548,0.598796,0.7912,1.263156,0
1691,1,2264,1044,0.684401,0.999409,0.42756,0.999409,0.57244,0.598902,0.791,1.263475,0
1691,1,2263,1045,0.684099,0.999409,0.427668,0.999409,0.572332,0.599008,0.7908,1.263795,0
1691,1,2262,1046,0.683797,0.999409,0.427776,0.999409,0.572224,0.599114,0.7906,1.264115,0
1691,1,2261,1047,0.683495,0.999409,0.427885,0.999409,0.572115,0.59922,0.7904,1.264434,0
1691,1,2260,1048,0.683192,0.999409,0.427993,0.999409,0.572007,0.599327,0.7902,1.264754,0
1691,1,2259,1049,0.68289,0.999409,0.428101,0.999409,0.571899,0.599433,0.79,1.265075,0
1691,1,2258,1050,0.682588,0.999409,0.42821,0.999409,0.57179,0.599539,0.7898,1.265395,0
1691,1,2257,1051,0.682285,0.999409,0.428318,0.999409,0.571682,0.599645,0.7896,1.265716,0
1691,1,2256,1052,0.681983,0.999409,0.428427,0.999409,0.571573,0.599752,0.7894,1.266036,0
1691,1,2255,1053,0.681681,0.999409,0.428535,0.999409,0.571465,0.599858,0.7892,1.266357,0
1691,1,2254,1054,0.681378,0.999409,0.428644,0.999409,0.571356,0.599965,0.789,1.266678,0
1691,1,2253,1055,0.681076,0.999409,0.428753,0.999409,0.571247,0.600071,0.7888,1.266999,0
1691,1,2252,1056,0.680774,0.999409,0.428861,0.999409,0.571139,0.600177,0.7886,1.267321,0
1691,1,2251,1057,0.680472,0.999409,0.42897,0.999409,0.57103,0.600284,0.7884,1.267642,0
1691,1,2250,1058,0.680169,0.999409,0.429079,0.999409,0.570921,0.600391,0.7882,1.267964,0
1691,1,2249,1059,0.679867,0.999409,0.429188,0.999409,0.570812,0.600497,0.788,1.268286,0
1691,1,2248,1060,0.679565,0.999409,0.429297,0.999409,0.570703,0.600604,0.7878,1.268607,0
1691,1,2247,1061,0.679262,0.999409,0.429406,0.999409,0.570594,0.60071,0.7876,1.26893,0
1691,1,2246,1062,0.67896,0.999409,0.429515,0.999409,0.570485,0.600817,0.7874,1.269252,0
1691,1,2245,1063,0.678658,0.999409,0.429624,0.999409,0.570376,0.600924,0.7872,1.269574,0
1691,1,2244,1064,0.678356,0.999409,0.429733,0.999409,0.570267,0.601031,0.787,1.269897,0
1691,1,2243,1065,0.678053,0.999409,0.429842,0.999409,0.570158,0.601138,0.7868,1.27022,0
1691,1,2242,1066,0.677751,0.999409,0.429952,0.999409,0.570048,0.601244,0.7866,1.270543,0
1691,1,2241,1067,0.677449,0.999409,0.430061,0.999409,0.569939,0.601351,0.7864,1.270866,0
1691,1,2240,1068,0.677146,0.999409,0.43017,0.999409,0.56983,0.601458,0.7862,1.271189,0
1691,1,2239,1069,0.676844,0.999409,0.43028,0.999409,0.56972,0.601565,0.786,1.271513,0
1691,1,2238,1070,0.676542,0.999409,0.430389,0.999409,0.569611,0.601672,0.7858,1.271836,0
1691,1,2237,1071,0.676239,0.999409,0.430499,0.999409,0.569501,0.601779,0.7856,1.27216,0
1691,1,2236,1072,0.675937,0.999409,0.430609,0.999409,0.569391,0.601886,0.7854,1.272484,0
1691,1,2235,1073,0.675635,0.999409,0.430718,0.999409,0.569282,0.601994,0.7852,1.272808,0
1691,1,2234,1074,0.675333,0.999409,0.430828,0.999409,0.569172,0.602101,0.785,1.273132,0
1691,1,2233,1075,0.67503,0.999409,0.430938,0.999409,0.569062,0.602208,0.7848,1.273457,0
1691,1,2232,1076,0.674728,0.999409,0.431048,0.999409,0.568952,0.602315,0.7846,1.273782,0
1691,1,2231,1077,0.674426,0.999409,0.431158,0.999409,0.568842,0.602423,0.7844,1.274106,0
1691,1,2230,1078,0.674123,0.999409,0.431268,0.999409,0.568732,0.60253,0.7842,1.274431,0
1691,1,2229,1079,0.673821,0.999409,0.431378,0.999409,0.568622,0.602637,0.784,1.274756,0
1691,1,2228,1080,0.673519,0.999409,0.431488,0.999409,0.568512,0.602745,0.7838,1.275082,0
1691,1,2227,1081,0.673216,0.999409,0.431598,0.999409,0.568402,0.602852,0.7836,1.275407,0
1691,1,2226,1082,0.672914,0.999409,0.431708,0.999409,0.568292,0.60296,0.7834,1.275733,0
1691,1,2225,1083,0.672612,0.999409,0.431818,0.999409,0.568182,0.603067,0.7832,1.276058,0
1691,1,2224,1084,0.67231,0.999409,0.431928,0.999409,0.568072,0.603175,0.783,1.276384,0
1691,1,2223,1085,0.672007,0.999409,0.432039,0.999409,0.567961,0.603282,0.7828,1.276711,0
1691,1,2222,1086,0.671705,0.999409,0.432149,0.999409,0.567851,0.60339,0.7826,1.277037,0
1691,1,2221,1087,0.671403,0.999409,0.43226,0.999409,0.56774,0.603498,0.7824,1.277363,0
1691,1,2220,1088,0.6711,0.999409,0.43237,0.999409,0.56763,0.603605,0.7822,1.27769,0
1691,1,2219,1089,0.670798,0.999409,0.432481,0.999409,0.567519,0.603713,0.782,1.278017,0
1691,1,2218,1090,0.670496,0.999409,0.432591,0.999409,0.567409,0.603821,0.7818,1.278344,0
1691,1,2217,1091,0.670193,0.999409,0.432702,0.999409,0.567298,0.603929,0.7816,1.278671,0
1691,1,2216,1092,0.669891,0.999409,0.432813,0.999409,0.567187,0.604036,0.7814,1.278998,0
1691,1,2215,1093,0.669589,0.999409,0.432924,0.999409,0.567076,0.604144,0.7812,1.279325,0
1691,1,2214,1094,0.669287,0.999409,0.433035,0.999409,0.566965,0.604252,0.781,1.279653,0
1691,1,2213,1095,0.668984,0.999409,0.433145,0.999409,0.566855,0.60436,0.7808,1.279981,0
1691,1,2212,1096,0.668682,0.999409,0.433256,0.999409,0.566744,0.604468,0.7806,1.280309,0
1691,1,2211,1097,0.66838,0.999409,0.433368,0.999409,0.566632,0.604576,0.7804,1.280637,0
1691,1,2210,1098,0.668077,0.999409,0.433479,0.999409,0.566521,0.604684,0.7802,1.280965,0
1691,1,2209,1099,0.667775,0.999409,0.43359,0.999409,0.56641,0.604793,0.78,1.281294,0
1691,1,2208,1100,0.667473,0.999409,0.433701,0.999409,0.566299,0.604901,0.7798,1.281622,0
1691,1,2207,1101,0.66717,0.999409,0.433812,0.999409,0.566188,0.605009,0.7796,1.281951,0
1691,1,2206,1102,0.666868,0.999409,0.433924,0.999409,0.566076,0.605117,0.7794,1.28228,0
1691,1,2205,1103,0.666566,0.999409,0.434035,0.999409,0.565965,0.605225,0.7792,1.282609,0
1691,1,2204,1104,0.666264,0.999409,0.434146,0.999409,0.565854,0.605334,0.779,1.282938,0
1691,1,2203,1105,0.665961,0.999409,0.434258,0.999409,0.565742,0.605442,0.7788,1.283268,0
1691,1,2202,1106,0.665659,0.999409,0.434369,0.999409,0.565631,0.605551,0.7786,1.283597,0
1691,1,2201,1107,0.665357,0.999409,0.434481,0.999409,0.565519,0.605659,0.7784,1.283927,0
1691,1,2200,1108,0.665054,0.999409,0.434593,0.999409,0.565407,0.605768,0.7782,1.284257,0
1691,1,2199,1109,0.664752,0.999409,0.434704,0.999409,0.565296,0.605876,0.778,1.284587,0
