'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
1692,0,3308,0,1,1,0.3384,1,0.6616,0.505678,1,1,0
1692,0,2886,422,0.87243,1,0.369594,1,0.630406,0.539713,0.9156,1.09218,0.01
1692,0,2589,719,0.782648,1,0.395235,1,0.604765,0.566549,0.8562,1.167951,0.02
1692,0,2374,934,0.717654,1,0.416134,1,0.583866,0.587704,0.8132,1.22971,0.03
1692,0,2204,1104,0.666264,1,0.434292,1,0.565708,0.605583,0.7792,1.283368,0.04
1692,0,2055,1253,0.621221,1,0.451561,1,0.548439,0.622173,0.7494,1.334401,0.05
1692,0,1952,1356,0.590085,1,0.464325,1,0.535675,0.634183,0.7288,1.372119,0.06
1691,1,1865,1443,0.563785,0.999409,0.475534,0.999409,0.524466,0.644436,0.7112,1.405243,0.07
1690,2,1786,1522,0.539903,0.998818,0.486191,0.998818,0.513809,0.654025,0.6952,1.436735,0.08
1690,2,1705,1603,0.515417,0.998818,0.497791,0.998818,0.502209,0.664439,0.679,1.471013,0.09
1689,3,1639,1669,0.495466,0.998227,0.507512,0.998227,0.492488,0.672908,0.6656,1.49974,0.1
1688,4,1586,1722,0.479444,0.997636,0.515577,0.997636,0.484423,0.679823,0.6548,1.523574,0.11
1687,5,1505,1803,0.454958,0.997045,0.528509,0.997045,0.471491,0.690827,0.6384,1.561787,0.12
1682,10,1450,1858,0.438331,0.99409,0.537037,0.99409,0.462963,0.697347,0.6264,1.586989,0.13
1681,11,1391,1917,0.420496,0.993499,0.547201,0.993499,0.452799,0.705709,0.6144,1.617023,0.14
1681,11,1341,1967,0.405381,0.993499,0.556254,0.993499,0.443746,0.713195,0.6044,1.643777,0.15
1680,12,1296,2012,0.391778,0.992908,0.564516,0.992908,0.435484,0.719794,0.5952,1.668192,0.16
1679,13,1250,2058,0.377872,0.992317,0.573233,0.992317,0.426767,0.726683,0.5858,1.693951,0.17
1678,14,1196,2112,0.361548,0.991726,0.583855,0.991726,0.416145,0.734998,0.5748,1.725341,0.18
1675,17,1151,2157,0.347944,0.989953,0.592711,0.989953,0.407289,0.741479,0.5652,1.751509,0.19
1673,19,1102,2206,0.333132,0.988771,0.602883,0.988771,0.397117,0.749049,0.555,1.781569,0.2
1666,26,1060,2248,0.320435,0.984634,0.611152,0.984634,0.388848,0.754187,0.5452,1.806004,0.21
1663,29,1021,2287,0.308646,0.982861,0.619598,0.982861,0.380402,0.760055,0.5368,1.830962,0.22
1658,34,989,2319,0.298972,0.979905,0.626369,0.979905,0.373631,0.764231,0.5294,1.850974,0.23
1654,38,957,2351,0.289299,0.977541,0.633474,0.977541,0.366526,0.768766,0.5222,1.871967,0.24
1649,43,922,2386,0.278718,0.974586,0.641385,0.974586,0.358615,0.773634,0.5142,1.895345,0.25
1641,51,889,2419,0.268742,0.969858,0.648617,0.969858,0.351383,0.777357,0.506,1.916716,0.26
1637,55,850,2458,0.256953,0.967494,0.658223,0.967494,0.341777,0.783441,0.4974,1.945103,0.27
1630,62,806,2502,0.243652,0.963357,0.66913,0.963357,0.33087,0.789729,0.4872,1.977334,0.28
1626,66,776,2532,0.234583,0.960993,0.676936,0.960993,0.323064,0.794333,0.4804,2.000402,0.29
1612,80,734,2574,0.221886,0.952719,0.687127,0.952719,0.312873,0.798415,0.4692,2.030517,0.3
1598,94,702,2606,0.212213,0.944444,0.694783,0.944444,0.305217,0.800601,0.46,2.05314,0.31
1589,103,677,2631,0.204655,0.939125,0.701236,0.939125,0.298764,0.802931,0.4532,2.072209,0.32
1581,111,642,2666,0.194075,0.934397,0.711201,0.934397,0.288799,0.807663,0.4446,2.101658,0.33
1571,121,607,2701,0.183495,0.928487,0.721304,0.928487,0.278696,0.811886,0.4356,2.131513,0.34
1558,134,583,2725,0.176239,0.920804,0.727697,0.920804,0.272303,0.81294,0.4282,2.150406,0.35
1546,146,551,2757,0.166566,0.913712,0.737244,0.913712,0.262756,0.816046,0.4194,2.178616,0.36
1533,159,528,2780,0.159613,0.906028,0.743814,0.906028,0.256186,0.816946,0.4122,2.198031,0.37
1526,166,493,2815,0.149033,0.901891,0.75582,0.901891,0.24418,0.82242,0.4038,2.23351,0.38
1513,179,453,2855,0.136941,0.894208,0.769583,0.894208,0.230417,0.827228,0.3932,2.274181,0.39
1496,196,423,2885,0.127872,0.884161,0.779573,0.884161,0.220427,0.828579,0.3838,2.303702,0.4
1485,207,399,2909,0.120617,0.87766,0.788217,0.87766,0.211783,0.830537,0.3768,2.329245,0.41
1468,224,382,2926,0.115478,0.867612,0.793514,0.867612,0.206486,0.82891,0.37,2.344898,0.42
1455,237,355,2953,0.107316,0.859929,0.803867,0.859929,0.196133,0.830954,0.362,2.375495,0.43
1435,257,324,2984,0.097944,0.848109,0.815804,0.848109,0.184196,0.831643,0.3518,2.41077,0.44
