Index,label,output
1,1,0.206
2,1,0.662
3,0,0.219
4,0,0.126
5,0,0.45
6,0,0.212
7,0,0.096
8,1,0.934
9,0,0.337
10,0,0.045
11,1,0.805
12,0,0.471
13,0,0.855
14,1,0.832
15,0,0.904
16,0,0.324
17,1,0.797
18,1,0.668
19,1,0.008
20,1,0.706
21,1,0.533
22,0,0.229
23,0,0.425
24,1,0.701
25,0,0.654
26,1,0.165
27,0,0.042
28,1,0.925
29,0,0.445
30,0,0.01
31,0,0.441
32,1,0.583
33,0,0.694
34,0,0.494
35,1,0.206
36,1,0.609
37,1,0.877
38,0,0.245
39,0,0.201
40,0,0.209
41,1,0.967
42,0,0.371
43,1,0.942
44,0,0.187
45,1,0.964
46,1,0.567
47,1,0.679
48,0,0.432
49,0,0.207
50,1,0.435
51,1,0.935
52,1,0.586
53,1,0.794
54,1,0.771
55,0,0.885
56,0,0.729
57,1,0.951
58,1,0.602
59,0,0.162
60,1,0.529
61,1,0.961
62,0,0.033
63,0,0.353
64,0,0.099
65,1,0.615
66,1,0.741
67,1,0.698
68,0,0.387
69,0,0.506
70,1,0.58
71,0,0.14
72,1,0.731
73,1,0.854
74,1,0.869
75,0,0.825
76,1,0.87
77,1,0.765
78,0,0.215
79,1,0.067
80,1,0.912
81,1,0.881
82,1,0.505
83,0,0.031
84,0,0.063
85,0,0.221
86,0,0.283
87,1,0.54
88,0,0.117
89,0,0.406
90,0,0.135
91,1,0.156
92,1,0.692
93,1,0.963
94,0,0.436
95,1,0.999
96,0,0.098
97,0,0.178
98,1,0.785
99,1,0.623
100,1,0.579
101,0,0.387
102,0,0.113
103,0,0.297
104,1,0.982
105,1,0.341
106,1,0.534
107,0,0.327
108,1,0.563
109,1,0.55
110,1,0.867
111,1,0.549
112,0,0.265
113,1,0.388
114,0,0.155
115,0,0.015
116,1,0.974
117,1,0.782
118,1,0.93
119,0,0.295
120,1,0.941
121,0,0.429
122,1,0.259
123,0,0.051
124,0,0.379
125,1,0.799
126,0,0.208
127,0,0.306
128,0,0.484
129,1,0.629
130,1,0.668
131,1,0.738
132,1,0.926
133,1,0.641
134,0,0.176
135,1,0.693
136,0,0.637
137,0,0.246
138,1,0.541
139,1,0.938
140,0,0.221
141,1,0.644
142,0,0.029
143,1,0.876
144,0,0.43
145,1,0.658
146,1,0.833
147,1,0.539
148,1,0.547
149,0,0.463
150,1,0.504
151,0,0.092
152,1,0.89
153,1,0.98
154,0,0.261
155,0,0.161
156,1,0.689
157,0,0.07
158,0,0.366
159,0,0.247
160,1,0.849
161,1,0.254
162,1,0.983
163,0,0.286
164,0,0.065
165,1,0.879
166,1,0.959
167,1,0.557
168,1,0.983
169,0,0.368
170,0,0.215
171,0,0.324
172,0,0.913
173,0,0.249
174,0,0.778
175,0,0.079
176,0,0.096
177,0,0.202
178,0,0.073
179,1,0.621
180,1,0.472
181,1,0.28
182,0,0.543
183,1,0.23
184,0,0.197
185,1,0.546
186,1,0.705
187,1,0.044
188,1,0.937
189,0,0.102
190,0,0.195
191,1,0.597
192,1,0.526
193,0,0.489
194,0,0.052
195,1,0.833
196,0,0.342
197,0,0.345
198,1,0.737
199,0,0.309
200,0,0.102
201,1,0.918
202,1,0.642
203,1,0.893
204,1,0.548
205,1,0.523
206,1,0.577
207,1,0.94
208,1,0.642
209,1,0.591
